id,commodity,h2_consumption,h2_production,elec_consumption,ethylene_production,natgas_consumption,natgas_production,capture_rate,emission_rate,investment_cost,fixed_om_cost,variable_om_cost
CA_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
CA_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
CA_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
CA_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
CA_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
SW_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
SW_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
SW_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
SW_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
SW_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
NW_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
NW_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
NW_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
NW_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
NW_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
TX_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
TX_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
TX_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
TX_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
TX_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
NCEN_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
NCEN_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
NCEN_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
NCEN_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
NCEN_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
CEN_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
CEN_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
CEN_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
CEN_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
CEN_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
SE_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
SE_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
SE_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
SE_TSC+H2in,Ethane,0.02226644157,0,0,0.05310189724,0,0,0,0.02267336695,99124.32016,54251.99777,1.676159756
SE_TSC+H2in:CH4,Ethane,0.1375867019,0,0,0.05310189724,0,0.1181424966,0,0.001283875878,99124.32016,54251.99777,1.676159756
MIDAT_TSC+CC90,Ethane,0,0,0.008052966438,0.05310189724,0.02270169876,0,0.0241051226,0.002678346955,106875.1697,58496.38728,1.807224085
MIDAT_TSC:H2,Ethane,0,0.1598531434,0,0.05310189724,0.1318322859,0,0,0.04654137028,99124.32016,54251.99777,1.676159756
MIDAT_TSC+CC90:H2,Ethane,0,0.1598531434,0.009388736698,0.05310189724,0.1318322859,0,0.04188723326,0.004654137028,106900.9741,58510.18581,1.807660423
