commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Electricity,capacity,elec_CA,CA_battery_moderate_0,CA_battery_moderate_0_discharge_edge,Battery,capacity,33.537206920329645
Electricity,capacity,elec_NW,NW_battery_moderate_0,NW_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_SW,SW_battery_moderate_0,SW_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_TX,TX_battery_moderate_0,TX_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_NCEN,NCEN_battery_moderate_0,NCEN_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_CEN,CEN_battery_moderate_0,CEN_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_SE,SE_battery_moderate_0,SE_battery_moderate_0_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_battery_moderate_0,MIDAT_battery_moderate_0_discharge_edge,Battery,capacity,3.048410429213459
Electricity,capacity,elec_NE,NE_battery_moderate_0,NE_battery_moderate_0_discharge_edge,Battery,capacity,56.72064486726973
Electricity,capacity,elec_CA,CA_hydroelectric_pumped_storage_1,CA_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_CEN,CEN_hydroelectric_pumped_storage_1,CEN_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_hydroelectric_pumped_storage_1,MIDAT_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_NE,NE_hydroelectric_pumped_storage_1,NE_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_NW,NW_hydroelectric_pumped_storage_1,NW_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_NCEN,NCEN_hydroelectric_pumped_storage_1,NCEN_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_SE,SE_hydroelectric_pumped_storage_1,SE_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
Electricity,capacity,elec_SW,SW_hydroelectric_pumped_storage_1,SW_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,0.0
CO2,capacity,co2_sink,CA_Sorbent_DAC,CA_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,NW_Sorbent_DAC,NW_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,SW_Sorbent_DAC,SW_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,TX_Sorbent_DAC,TX_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,NCEN_Sorbent_DAC,NCEN_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,CEN_Sorbent_DAC,CEN_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,MIDAT_Sorbent_DAC,MIDAT_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
CO2,capacity,co2_sink,NE_Sorbent_DAC,NE_Sorbent_DAC_co2_edge,ElectricDAC,capacity,0.0
Electricity,capacity,elec_CA,CA_onshore_wind_turbine_1,CA_onshore_wind_turbine_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_CA,CA_solar_photovoltaic_1,CA_solar_photovoltaic_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_CEN,CEN_onshore_wind_turbine_1,CEN_onshore_wind_turbine_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_CEN,CEN_solar_photovoltaic_1,CEN_solar_photovoltaic_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_onshore_wind_turbine_1,MIDAT_onshore_wind_turbine_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_solar_photovoltaic_1,MIDAT_solar_photovoltaic_1_edge,VRE,capacity,0.0
Electricity,capacity,elec_NE,NE_onshore_wind_turbine_1,NE_onshore_wind_turbine_1_edge,VRE,capacity,0.0
