bioagri_CA,bioagri_NW,bioagri_SW,bioagri_TX,bioagri_NCEN,bioagri_CEN,bioagri_SE,bioagri_MIDAT,bioagri_NE,bioherb_CA,bioherb_NW,bioherb_SW,bioherb_TX,bioherb_NCEN,bioherb_CEN,bioherb_SE,bioherb_MIDAT,bioherb_NE,biowood_CA,biowood_NW,biowood_SW,biowood_TX,biowood_NCEN,biowood_CEN,biowood_SE,biowood_MIDAT,biowood_NE,ethylene_CA,ethylene_NW,ethylene_SW,ethylene_TX,ethylene_NCEN,ethylene_CEN,ethylene_SE,ethylene_MIDAT,ethylene_NE,ethylene_demand_CA,ethylene_demand_SW,ethylene_demand_NW,ethylene_demand_TX,ethylene_demand_NCEN,ethylene_demand_CEN,ethylene_demand_SE,ethylene_demand_MIDAT,ethylene_demand_NE,natgas_CA,natgas_NW,natgas_SW,natgas_TX,natgas_NCEN,natgas_CEN,natgas_SE,natgas_MIDAT,natgas_NE,natgas_demand_CA,natgas_demand_SW,natgas_demand_NW,natgas_demand_TX,natgas_demand_NCEN,natgas_demand_CEN,natgas_demand_SE,natgas_demand_MIDAT,natgas_demand_NE,elec_CA,elec_NW,elec_SW,elec_TX,elec_NCEN,elec_CEN,elec_SE,elec_MIDAT,elec_NE,h2_CA,h2_NW,h2_SW,h2_TX,h2_NCEN,h2_CEN,h2_SE,h2_MIDAT,h2_NE,co2_captured_CA,co2_captured_NW,co2_captured_SW,co2_captured_TX,co2_captured_NCEN,co2_captured_CEN,co2_captured_SE,co2_captured_MIDAT,co2_captured_NE,gasoline_CA,gasoline_NW,gasoline_SW,gasoline_TX,gasoline_NCEN,gasoline_CEN,gasoline_SE,gasoline_MIDAT,gasoline_NE,gasoline_demand_CA,gasoline_demand_NW,gasoline_demand_SW,gasoline_demand_TX,gasoline_demand_NCEN,gasoline_demand_CEN,gasoline_demand_SE,gasoline_demand_MIDAT,gasoline_demand_NE,jetfuel_CA,jetfuel_NW,jetfuel_SW,jetfuel_TX,jetfuel_NCEN,jetfuel_CEN,jetfuel_SE,jetfuel_MIDAT,jetfuel_NE,jetfuel_demand_CA,jetfuel_demand_NW,jetfuel_demand_SW,jetfuel_demand_TX,jetfuel_demand_NCEN,jetfuel_demand_CEN,jetfuel_demand_SE,jetfuel_demand_MIDAT,jetfuel_demand_NE,diesel_CA,diesel_NW,diesel_SW,diesel_TX,diesel_NCEN,diesel_CEN,diesel_SE,diesel_MIDAT,diesel_NE,diesel_demand_CA,diesel_demand_NW,diesel_demand_SW,diesel_demand_TX,diesel_demand_NCEN,diesel_demand_CEN,diesel_demand_SE,diesel_demand_MIDAT,diesel_demand_NE
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,38.66370595933702,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,0.0,0.0,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,16.44652268,15.559365860000002,13.27323096,16.812717397409,14.97930178,14.966044164162854,12.556681220000002,12.215467049999999,-2.0037814011144355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0037814011144355,38.181305711909346,38.536428136937744,36.31184280204308,41.21622704467159,37.27767809106346,39.178552916084264,36.122705595341984,34.479556451150785,32.84638898799868,11.482099469602632,11.059445174636007,10.479276340375803,12.522015553652446,11.64559588770765,11.895316584915017,10.140576435194994,12.627084838357275,23.79174955752293,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-86.9244552667764,-410.987950784348,-404.42475658645833,-395.34072503543,-417.3768628608234,-400.3099908227767,-404.8160493067743,-402.39096036840004,-395.5666137541961,-404.1229242835962,-410.987950784348,-404.42475658645833,-395.34072503543,-417.3768628608234,-400.3099908227767,-404.8160493067743,-402.39096036840004,-395.5666137541961,-404.1229242835962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,55.12,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,0.0,0.0,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,15.589068213582529,15.559365860000002,13.27323096,6.415217662817374,14.967984680730394,15.04754461,12.556681220000002,12.215467049999999,15.013423189999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.18130571190934,38.53642813693774,36.31184280204308,41.21622704467159,37.27767809106346,39.178552916084264,36.122705595341984,34.63895129934337,32.998233899166095,12.349065289072044,11.059445174636007,10.479276340375801,12.522015553652473,11.64559588770765,11.895316584915017,10.140576435194994,12.630272735321126,24.780178125386243,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-1.2099012222187808,-387.1494376279763,-404.42475658645833,-395.34072503543,-417.3768628608234,-400.3099908227767,-404.8160493067743,-402.39096036840004,-395.9580390776058,-400.5249209114882,-387.1494376279763,-404.42475658645833,-395.34072503543,-417.3768628608234,-400.3099908227767,-404.8160493067743,-402.39096036840004,-395.9580390776058,-400.5249209114882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,0.0,0.0,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,16.44652268,15.559365860000002,13.27323096,8.13807533754427,14.97930178,15.04754461,11.612231991857765,12.215467049999999,4.692732598117255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.036762097027996,42.23590001111238,44.823412968882494,50.87739490154963,46.01564202362066,48.36208579262887,44.58994161437257,46.89458144693182,44.67336074399817,12.764647768662286,11.133434612119526,10.64950774371259,12.71523891079001,11.820355166358791,11.954673397418919,9.452733624294169,12.281214928330192,25.013680662282887,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-84.56027276260211,-427.82286899590514,-413.5095356192416,-416.2425555717193,-441.1017560789795,-421.7677756698159,-427.36801611752946,-423.1839197062726,-426.05414349067104,-429.19548556841755,-427.82286899590514,-413.5095356192416,-416.2425555717193,-441.1017560789795,-421.7677756698159,-427.36801611752946,-423.1839197062726,-426.05414349067104,-429.19548556841755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,0.0,0.0,0.0,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,539.2112976477804,0.0,13.617286072547131,12.761306478115872,13.27323096,5.610535630517357,14.9679846807304,14.7439126333033,12.556681220000002,12.215467049999999,15.013423189999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.48467881541295,34.21567569767679,36.311842802043095,41.21622704467161,37.27767809106347,39.17855291608428,36.12270559534199,34.4795564511508,32.84638898799872,11.499065738567596,9.94655985492049,10.31258151693973,12.522015553652473,11.64559588770765,11.895316584915017,10.246174622583899,12.627084838357275,24.506541327938113,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,6.572466367239218,-406.8215505575088,-393.8143012292858,-395.3407250354301,-417.3768628608234,-400.3099908227767,-404.81604930677435,-402.3909603684001,-395.5666137541961,-420.97381470149634,-406.8215505575088,-393.8143012292858,-395.3407250354301,-417.3768628608234,-400.3099908227767,-404.81604930677435,-402.3909603684001,-395.5666137541961,-420.97381470149634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,55.12,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,0.0,0.0,0.0,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,13134.939347041976,0.0,14.697513336856334,2.2748934688627758,13.27323096,2.840254036927542,14.9679846807304,14.7439126333033,12.556681220000002,12.215467049999999,-1.0918519592549658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0918519592549658,36.48467881541295,34.21567569767679,36.311842802043095,41.21622704467161,37.27767809106348,39.17855291608428,36.12270559534199,34.4795564511508,32.846388987998694,12.593606103029986,9.946559854920485,10.479276340375803,12.522015553652473,5.897847122570797,11.895316584915017,10.246174622583899,12.627084838357275,24.777141227162893,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-86.9244552667764,-382.98303740113704,-393.8143012292858,-395.3407250354301,-417.3768628608234,-400.3099908227767,-404.81604930677435,-402.3909603684001,-395.5666137541961,-400.15203593976065,-382.98303740113704,-393.8143012292858,-395.3407250354301,-417.3768628608234,-400.3099908227767,-404.81604930677435,-402.3909603684001,-395.5666137541961,-400.15203593976065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,0.0,0.0,0.0,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,1686.4035078496722,0.0,16.44652268,7.440687598995858,13.27323096,66.25685949590769,14.97930178,15.04754461,12.556681220000002,12.215467049999999,6.635653049429019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.17030000940983,116.44807777807243,123.58207776573477,140.27343650976027,126.86915775358632,133.33850886113825,122.93837678051202,117.34615755811795,111.78790953594995,12.138738830700424,9.124235834116527,12.224681039649635,14.503159742954223,13.437425480958106,13.7785157038161,11.807243651849038,9.421476353476422,26.355971638121922,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-159.16658675170095,-622.1507975402352,-595.7520987431689,-609.6499096298122,-660.6312759776234,-620.3194472092252,-636.0442955515904,-615.5838744180581,-599.06181140928,-594.0084281714384,-622.1507975402352,-595.7520987431689,-609.6499096298122,-660.6312759776234,-620.3194472092252,-636.0442955515904,-615.5838744180581,-599.06181140928,-594.0084281714384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-422.9540200066364,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,0.0,0.0,0.0,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,1660.3936513517083,0.0,16.44652268,15.559365860000002,13.27323096,120.68247105577497,14.97930178,15.04754461,12.556681220000002,12.215467049999999,15.013423189999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.91589376308028,216.2053515540009,229.45081686995326,256.64562641566476,232.1210292886165,243.95741619701747,224.9292346749069,214.69765668626053,204.52823273175665,16.262230401983327,17.142465550924324,14.342055821734006,16.83060354107231,15.54246291165871,15.990893850533682,17.097299082894523,5.469828246452901,28.210778102038056,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-1031.4597884661316,-857.2728885302614,-840.725657129626,-869.631370214855,-946.4060208098446,-878.7860684471474,-907.6907262245089,-866.0424368422683,-838.1275181290224,-2349.3548362519896,-857.2728885302614,-840.725657129626,-869.631370214855,-946.4060208098446,-878.7860684471474,-907.6907262245089,-866.0424368422683,-838.1275181290224,-2349.3548362519896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,40.03631309493504,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,0.0,0.0,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,505.4972906845601,0.0,16.44652268,14.777091164410288,13.27323096,6.986806641047063,14.97930178,15.04754461,12.556681220000002,12.215467049999999,-0.785811973804262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.785811973804262,45.68644978502341,42.84518324887063,45.47002294224331,44.33481643433384,40.09826065530533,42.142963493840355,38.85589818653744,37.08842161467672,35.33168197892843,12.777641522422163,11.757702027556965,10.662439943179807,12.584387341445693,11.702007538992486,11.95460479647014,10.140576435194994,12.679262141627794,24.82684708698149,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-89.35898708679572,-429.41830458414705,-415.00575015247074,-417.83043322782055,-425.0351709822724,-407.23648471471233,-412.0957411053146,-409.1028510353864,-401.97319402918384,-406.25516049976534,-429.41830458414705,-415.00575015247074,-417.83043322782055,-425.0351709822724,-407.23648471471233,-412.0957411053146,-409.1028510353864,-401.97319402918384,-406.25516049976534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,38.771381021032425,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,41.5924534358987,55.12,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,0.0,0.0,0.0,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,505.17600296014774,0.0,3.4728851488416477,4.830712262138999,3.7915087423075438,1.1114104883151514,1.0915390433087286,15.04754461,11.463937928475326,6.339072028167805,-7.487841012091309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.487841012091309,8.203052076903484,7.692899559688965,8.164192400335951,7.960364829004857,7.199686600654761,7.566815233875754,6.976619059236076,6.659266705706668,6.343842180811155,3.519258601625641,4.5081647180136635,3.4977323730726178,3.3848225582352365,1.7849231284742821,3.166816664208402,4.295683392570275,5.606703835204529,15.823510219361058,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-94.87369831107267,-313.53195401796194,-328.6824205866322,-326.2186468337696,-335.7105683058949,-326.44758134000085,-327.18722512514836,-330.81702634302604,-327.2484338729789,-338.6853242259486,-313.53195401796194,-328.6824205866322,-326.2186468337696,-335.7105683058949,-326.44758134000085,-327.18722512514836,-330.81702634302604,-327.2484338729789,-338.6853242259486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,-32.485251740006824,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,77.16,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,44.09,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,0.0,0.0,0.0,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,613.8353840897018,0.0,0.879415564191559,2.237242677488954,0.8498587677556696,0.3407372483838886,-1.5019305413413158,-0.10430759569356188,1.9454931372897457,0.828125637230266,15.013423189999997,0.0,0.0,0.0,0.0,-1.5019305413413158,-0.10430759569356188,0.0,0.0,0.0,8.203052076903484,7.692899559688964,8.16419240033595,7.960364829004855,7.19968660065476,7.566815233875753,6.976619059236076,6.659266705706665,6.343842180811152,3.519258601625641,4.5081647180136635,3.4977323730726173,3.384822558235235,1.784923128474283,2.802812568020803,4.295683392570275,3.481904124030926,16.013825484785393,-5.4,-5.745980977589542,-5.6,-5.0,-6.1,-6.2,-6.1,-42.09438112528022,-336.8589013870706,-337.37046717433356,-328.6824205866322,-326.2186468337696,-335.7105683058949,-326.44758134000085,-327.18722512514836,-330.81702634302604,-327.2484338729789,-623.5737061602406,-337.37046717433356,-328.6824205866322,-326.2186468337696,-335.7105683058949,-326.44758134000085,-327.18722512514836,-330.81702634302604,-327.2484338729789,-623.5737061602406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
