commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Ethane,capacity,ethane_CA,CA_ESC,CA_ESC_ethane_consumption_edge,SteamCracker,capacity,14.933823411088811
Ethane,capacity,ethane_SW,SW_ESC,SW_ESC_ethane_consumption_edge,SteamCracker,capacity,37.36642485370771
Ethane,capacity,ethane_NW,NW_ESC,NW_ESC_ethane_consumption_edge,SteamCracker,capacity,78.38103314789817
Ethane,capacity,ethane_TX,TX_ESC,TX_ESC_ethane_consumption_edge,SteamCracker,capacity,542.5087188039292
Ethane,capacity,ethane_NCEN,NCEN_ESC,NCEN_ESC_ethane_consumption_edge,SteamCracker,capacity,49.057145883344994
Ethane,capacity,ethane_CEN,CEN_ESC,CEN_ESC_ethane_consumption_edge,SteamCracker,capacity,258.3374851835997
Ethane,capacity,ethane_SE,SE_ESC,SE_ESC_ethane_consumption_edge,SteamCracker,capacity,12.567610287404824
Ethane,capacity,ethane_MIDAT,MIDAT_ESC,MIDAT_ESC_ethane_consumption_edge,SteamCracker,capacity,24.51555430281939
Ethane,capacity,ethane_NE,NE_ESC,NE_ESC_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_CA,CA_TSC+CC90,CA_TSC+CC90_ethane_consumption_edge,SteamCracker,capacity,2272.948049784883
Ethane,capacity,ethane_CA,CA_TSC:H2,CA_TSC:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_CA,CA_TSC+CC90:H2,CA_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_CA,CA_TSC+H2in,CA_TSC+H2in_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_CA,CA_TSC+H2in:CH4,CA_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,capacity,8.25890060696495
Ethane,capacity,ethane_SW,SW_TSC+CC90,SW_TSC+CC90_ethane_consumption_edge,SteamCracker,capacity,3856.865042078692
Ethane,capacity,ethane_SW,SW_TSC:H2,SW_TSC:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_SW,SW_TSC+CC90:H2,SW_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_SW,SW_TSC+H2in,SW_TSC+H2in_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_SW,SW_TSC+H2in:CH4,SW_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,capacity,1.9882830131422287
Ethane,capacity,ethane_NW,NW_TSC+CC90,NW_TSC+CC90_ethane_consumption_edge,SteamCracker,capacity,11660.63775396517
Ethane,capacity,ethane_NW,NW_TSC:H2,NW_TSC:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_NW,NW_TSC+CC90:H2,NW_TSC+CC90:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_NW,NW_TSC+H2in,NW_TSC+H2in_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_NW,NW_TSC+H2in:CH4,NW_TSC+H2in:CH4_ethane_consumption_edge,SteamCracker,capacity,40.601868079346126
Ethane,capacity,ethane_TX,TX_TSC+CC90,TX_TSC+CC90_ethane_consumption_edge,SteamCracker,capacity,0.0
Ethane,capacity,ethane_TX,TX_TSC:H2,TX_TSC:H2_ethane_consumption_edge,SteamCracker,capacity,0.0
