Period_Index,Rep_Period,Rep_Period_Index
1,86,1
2,86,1
3,86,1
4,86,1
5,86,1
6,86,1
7,86,1
8,86,1
9,86,1
10,86,1
11,86,1
12,86,1
13,86,1
14,86,1
15,86,1
16,86,1
17,86,1
18,86,1
19,86,1
20,86,1
21,86,1
22,86,1
23,86,1
24,86,1
25,86,1
26,86,1
27,86,1
28,86,1
29,86,1
30,86,1
31,86,1
32,86,1
33,86,1
34,86,1
35,86,1
36,86,1
37,86,1
38,86,1
39,86,1
40,86,1
41,86,1
42,86,1
43,86,1
44,86,1
45,86,1
46,86,1
47,86,1
48,86,1
49,86,1
50,86,1
51,86,1
52,86,1
53,86,1
54,86,1
55,86,1
56,86,1
57,86,1
58,86,1
59,86,1
60,86,1
61,86,1
62,86,1
63,86,1
64,86,1
65,86,1
66,86,1
67,86,1
68,86,1
69,86,1
70,86,1
71,86,1
72,86,1
73,86,1
74,86,1
75,86,1
76,86,1
77,86,1
78,86,1
79,86,1
80,86,1
81,86,1
82,86,1
83,86,1
84,86,1
85,86,1
86,86,1
87,86,1
