Period_Index,Rep_Period,Rep_Period_Index
1,163,1
2,163,1
3,163,1
4,163,1
5,163,1
6,163,1
7,163,1
8,163,1
9,163,1
10,163,1
11,163,1
12,163,1
13,163,1
14,163,1
15,163,1
16,163,1
17,163,1
18,163,1
19,163,1
20,163,1
21,163,1
22,163,1
23,163,1
24,163,1
25,163,1
26,163,1
27,163,1
28,163,1
29,163,1
30,163,1
31,163,1
32,163,1
33,163,1
34,163,1
35,163,1
36,163,1
37,163,1
38,163,1
39,163,1
40,163,1
41,163,1
42,163,1
43,163,1
44,163,1
45,163,1
46,163,1
47,163,1
48,163,1
49,163,1
50,163,1
51,163,1
52,163,1
53,163,1
54,163,1
55,163,1
56,163,1
57,163,1
58,163,1
59,163,1
60,163,1
61,163,1
62,163,1
63,163,1
64,163,1
65,163,1
66,163,1
67,163,1
68,163,1
69,163,1
70,163,1
71,163,1
72,163,1
73,163,1
74,163,1
75,163,1
76,163,1
77,163,1
78,163,1
79,163,1
80,163,1
81,163,1
82,163,1
83,163,1
84,163,1
85,163,1
86,163,1
87,163,1
88,163,1
89,163,1
90,163,1
91,163,1
92,163,1
93,163,1
94,163,1
95,163,1
96,163,1
97,163,1
98,163,1
99,163,1
100,163,1
101,163,1
102,163,1
103,163,1
104,163,1
105,163,1
106,163,1
107,163,1
108,163,1
109,163,1
110,163,1
111,163,1
112,163,1
113,163,1
114,163,1
115,163,1
116,163,1
117,163,1
118,163,1
119,163,1
120,163,1
121,163,1
122,163,1
123,163,1
124,163,1
125,163,1
126,163,1
127,163,1
128,163,1
129,163,1
130,163,1
131,163,1
132,163,1
133,163,1
134,163,1
135,163,1
136,163,1
137,163,1
138,163,1
139,163,1
140,163,1
141,163,1
142,163,1
143,163,1
144,163,1
145,163,1
146,163,1
147,163,1
148,163,1
149,163,1
150,163,1
151,163,1
152,163,1
153,163,1
154,163,1
155,163,1
156,163,1
157,163,1
158,163,1
159,163,1
160,163,1
161,163,1
162,163,1
163,163,1
164,163,1
165,163,1
166,163,1
167,163,1
168,163,1
169,163,1
170,163,1
171,163,1
172,163,1
173,163,1
174,163,1
175,163,1
