type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
BECCSElectricity,764646.3434662559,212238.7462675244,261927.90272834868,411670.7620477911,0.0,0.0,1.6504837545099203e6
BECCSHydrogen{NaturalGas},214839.01492371625,176514.98945821016,792276.578910228,363551.1213991272,0.0,0.0,1.5471817046912815e6
BECCSLiquidFuels,6.219277795082981e10,4.7026587160012215e10,1.997305144272661e10,6.310137794190802e10,0.0,0.0,1.9229379449547665e11
BECCSNaturalGas,1.4054033862002068e6,809127.2180745698,123792.37857188293,782931.8911319189,0.0,0.0,3.1212548739785785e6
CO2Injection,0.0,0.0,4.631479528165876e9,0.0,0.0,0.0,4.631479528165876e9
GasStorage{CO2Captured},3.4912844372256246e9,4.5495314447811204e8,0.0,0.0,0.0,0.0,3.946237581703737e9
Battery,929793.6116513887,8.941927870643036e8,60895.66628621194,0.0,0.0,0.0,8.951834763422413e8
ElectricDAC,330546.55986389995,263492.8291486517,37868.70108580315,0.0,0.0,0.0,631908.0900983547
Electrolyzer,2.22945544624125e10,5.70740438759723e8,0.0,0.0,0.0,0.0,2.2865294901172222e10
VRE,7.349166104761404e10,3.019932138209343e10,0.0,0.0,0.0,0.0,1.0369098242970747e11
ThermalPower{Hydrogen},5.750409724071178e10,2.3512420988315678e10,5.466316626526212e10,0.0,416309.8864689929,0.0,1.3568010080417606e11
GasStorage{Hydrogen},3.781696284531701e9,1.0941119984829992e8,0.0,0.0,0.0,0.0,3.891107484380001e9
HydroRes,0.0,3.30714145296e9,0.0,0.0,0.0,0.0,3.30714145296e9
ConstrainedFossilLiquidFuels,0.0,0.0,0.0,1.2398830994546162e11,0.0,0.0,1.2398830994546162e11
MustRun,0.0,1.4647794998400003e8,0.0,0.0,0.0,0.0,1.4647794998400003e8
NaturalGasDAC,682921.4268585806,331399.9598386544,169700.38696833272,0.0,0.0,0.0,1.1840217736655676e6
UpstreamEmissions{NaturalGas},0.0,0.0,0.0,3.6682522300545555e10,0.0,0.0,3.6682522300545555e10
ThermalHydrogenCCS{NaturalGas},2.5990146746836724e6,1.0627611182290032e6,463419.9025936548,0.0,2806.8447945528933,0.0,4.1280025403008834e6
ThermalPower{NaturalGas},803674.9085169861,5.7480291856701e6,411415.5011348571,0.0,1.8602187016135291e6,0.0,8.823338296935473e6
ThermalPowerCCS{NaturalGas},677756.4266725659,300458.6885056419,81888.18921701217,0.0,191853.24021087895,0.0,1.251956544606099e6
ThermalPower{Uranium},823084.3567853972,3.0162031718094304e7,3.0555517888290226e6,1.065413803824646e7,389455.7022325638,0.0,4.508426160418775e7
SyntheticLiquidFuels,692278.4130548114,556564.0957972212,183161.4479123444,0.0,0.0,0.0,1.432003956764377e6
SyntheticNaturalGas,48976.916622506666,0.0,0.0,0.0,0.0,0.0,48976.916622506666
TransmissionLink{Electricity},4.197690951260907e9,0.0,0.0,0.0,0.0,0.0,4.197690951260907e9
Node{Electricity},0.0,0.0,0.0,0.0,0.0,119318.46192110411,119318.46192110411
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,129484.00370079608,129484.00370079608
Total,2.2696373531062564e11,1.0626086912206482e11,7.927333913459883e10,2.2378442247972803e11,2.860644375320518e6,248802.4656219002,6.362854754938583e11
