type,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
BECCSElectricity,6.792176818619203e6,1.8852677512015058e6,2.407670155845327e6,3.769908074149238e6,0.0,0.0,1.4855022799815275e7
BECCSHydrogen{NaturalGas},1.6803917981185091e6,1.4036098990771428e6,6.288201178413e6,2.950429425045065e6,0.0,0.0,1.2322632300653718e7
BECCSLiquidFuels,6.219548973063581e10,4.699196898438983e10,1.9997723283581078e10,6.307610914222654e10,0.0,0.0,1.9226129114083325e11
BECCSNaturalGas,1.2574426058263652e7,7.241131435321346e6,1.0927409357088245e6,7.011930106864208e6,0.0,0.0,2.7920228536158033e7
CO2Injection,0.0,0.0,4.651132668127672e9,0.0,0.0,0.0,4.651132668127672e9
GasStorage{CO2Captured},3.4591344977401686e9,4.507636651948754e8,0.0,0.0,0.0,0.0,3.909898162935044e9
Battery,6.785275128052766e6,1.7912737914700266e6,422853.9367039071,0.0,0.0,0.0,8.9994028562267e6
ElectricDAC,1.7145468448657212e6,1.3667387706215316e6,155313.18127571206,0.0,0.0,0.0,3.2365987967629647e6
Electrolyzer,2.4051966096022102e10,3.607812218813539e8,0.0,0.0,0.0,0.0,2.4412747317903458e10
ThermalPower{Hydrogen},6.323197399242181e10,2.5854883159267372e10,5.968639396359378e10,0.0,2.78086542843536e6,0.0,1.487760319807114e11
GasStorage{Hydrogen},5.265700515708281e9,1.5645296666236183e8,0.0,0.0,0.0,0.0,5.422153482370643e9
ConstrainedFossilLiquidFuels,0.0,0.0,0.0,1.240527042833594e11,0.0,0.0,1.240527042833594e11
NaturalGasDAC,3.6647200451569054e6,1.8042293652076034e6,633114.4924005594,0.0,0.0,0.0,6.102063902765068e6
UpstreamEmissions{NaturalGas},0.0,0.0,0.0,3.669743346962124e10,0.0,0.0,3.669743346962124e10
ThermalHydrogenCCS{NaturalGas},1.438256241862701e7,5.878183797991426e6,2.4188711808636286e6,0.0,15077.060639758703,0.0,2.2694694458121825e7
ThermalPower{NaturalGas},5.564055162401896e6,2.3545667398514003e6,467539.705475856,0.0,2.422991944221947e6,0.0,1.08091535519511e7
ThermalPowerCCS{NaturalGas},4.254672741824582e6,1.8895115914491813e6,486184.2497794429,0.0,1.06554858776868e6,0.0,7.6959171708218865e6
VRE,7.751957372984035e10,2.6227706308593193e10,0.0,0.0,0.0,0.0,1.0374728003843353e11
ThermalPower{Uranium},5.630231159909886e6,4.0094175553710274e6,334103.54381062166,1.0332235845962521e6,657081.0654326554,0.0,1.166405690912044e7
SyntheticLiquidFuels,1.2276326687620245e7,9.874700719624162e6,2.230578600950511e6,0.0,0.0,0.0,2.4381606008194916e7
SyntheticNaturalGas,2.220383269280693e6,0.0,0.0,0.0,0.0,0.0,2.220383269280693e6
TransmissionLink{Electricity},3.5901908902885494e9,0.0,0.0,0.0,0.0,0.0,3.5901908902885494e9
Node{Electricity},0.0,0.0,0.0,0.0,0.0,790884.2690309001,790884.2690309001
Node{Hydrogen},0.0,0.0,0.0,0.0,0.0,791022.6941537997,791022.6941537997
Total,2.3939156922078983e11,1.0008205493740617e11,8.435218708646376e10,2.2384101238639786e11,6.941564086498401e6,1.5819069631846999e6,6.476753471021073e11
