zone,Investment,FixedOM,VariableOM,Fuel,Startup,NonServedDemand,Total
CA,8.523513420496729e9,2.7648028548235455e9,5.759167486077254e9,2.945844801544458e8,1.1930963676544735e6,279968.75752355054,1.734354130667715e10
NW,9.623202374274065e9,3.5449227409055386e9,1.993073188246632e8,1.0579078723286101e9,1.2764665824727453e6,298867.19832939125,1.4426915640113678e10
SW,9.151573407854433e9,3.629184021933842e9,5.040574849282158e9,1.9070587933714116e9,1.2322840623155716e6,284532.91182855517,1.972990788941599e10
TX,2.720502730783237e10,1.0416519671730476e10,1.3440208839652544e10,3.834832490446187e10,1.21029907644797e6,284617.0773232244,8.941157563983102e10
NCEN,3.576136408920243e10,1.6839159984431246e10,7.273017811178737e9,1.4758373559038332e10,1.1558577497695936e6,285175.3420703551,7.463335647694258e10
CEN,5.40208688474775e10,2.9059406993651363e10,6.1770973138335285e9,2.1034762898162342e10,1.2253645497686537e6,288509.4735673745,1.1029364992714807e11
SE,3.918041389400395e10,1.6518533016509558e10,9.863070054005453e9,8.650135009504673e9,1.148600923433812e6,285368.4513157769,7.421358594339838e10
MIDAT,2.643005962395904e10,9.120055102313025e9,1.8339558503520943e10,3.347710426211242e9,1.142296902366097e6,285114.8116655699,5.7238811067718285e10
NE,2.5942921294811512e10,8.21318043363251e9,1.8170413037468178e10,1.029720684913541e9,1.2009042344038864e6,284882.48384657153,5.3357721237544e10
co2_sink_CA_Bio_H2_Herb_transforms,0.0,0.0,1420.2062411441425,0.0,0.0,0.0,1420.2062411441425
CA_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,1440.3698817194434,0.0,0.0,0.0,1440.3698817194434
co2_sink_NW_Bio_H2_Herb_transforms,0.0,0.0,13592.415850279296,0.0,0.0,0.0,13592.415850279296
NW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,13784.837645651558,0.0,0.0,0.0,13784.837645651558
co2_sink_SW_Bio_H2_Herb_transforms,0.0,0.0,20935.13526665442,0.0,0.0,0.0,20935.13526665442
SW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,21234.277727355868,0.0,0.0,0.0,21234.277727355868
co2_sink_TX_Bio_H2_Herb_transforms,0.0,0.0,25163.766544564864,0.0,0.0,0.0,25163.766544564864
TX_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,25522.492854921195,0.0,0.0,0.0,25522.492854921195
co2_sink_NCEN_Bio_H2_Herb_transforms,0.0,0.0,27423.03979046186,0.0,0.0,0.0,27423.03979046186
NCEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,27808.132011979636,0.0,0.0,0.0,27808.132011979636
co2_sink_CEN_Bio_H2_Herb_transforms,0.0,0.0,24340.193283711953,0.0,0.0,0.0,24340.193283711953
CEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,24685.366545098423,0.0,0.0,0.0,24685.366545098423
co2_sink_SE_Bio_H2_Herb_transforms,0.0,0.0,28722.75607734687,0.0,0.0,0.0,28722.75607734687
SE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,29131.50273626143,0.0,0.0,0.0,29131.50273626143
co2_sink_MIDAT_Bio_H2_Herb_transforms,0.0,0.0,26181.18485155935,0.0,0.0,0.0,26181.18485155935
MIDAT_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,26549.685262950163,0.0,0.0,0.0,26549.685262950163
co2_sink_NE_Bio_H2_Herb_transforms,0.0,0.0,22587.369459086185,0.0,0.0,0.0,22587.369459086185
NE_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,22903.647197886366,0.0,0.0,0.0,22903.647197886366
co2_sink_CA_Bio_H2_Wood_transforms,0.0,0.0,13977.49359790517,0.0,0.0,0.0,13977.49359790517
CA_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,14162.805096279457,0.0,0.0,0.0,14162.805096279457
co2_sink_NW_Bio_H2_Wood_transforms,0.0,0.0,14681.514695483402,0.0,0.0,0.0,14681.514695483402
NW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,14878.836639794734,0.0,0.0,0.0,14878.836639794734
co2_sink_SW_Bio_H2_Wood_transforms,0.0,0.0,19397.15398055951,0.0,0.0,0.0,19397.15398055951
SW_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,19660.754782302505,0.0,0.0,0.0,19660.754782302505
co2_sink_TX_Bio_H2_Wood_transforms,0.0,0.0,22508.36532746521,0.0,0.0,0.0,22508.36532746521
TX_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,22810.383037637926,0.0,0.0,0.0,22810.383037637926
co2_sink_NCEN_Bio_H2_Wood_transforms,0.0,0.0,27925.782907967216,0.0,0.0,0.0,27925.782907967216
NCEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,28304.442507935775,0.0,0.0,0.0,28304.442507935775
co2_sink_CEN_Bio_H2_Wood_transforms,0.0,0.0,25485.583366080187,0.0,0.0,0.0,25485.583366080187
CEN_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,25831.155085024242,0.0,0.0,0.0,25831.155085024242
co2_sink_SE_Bio_H2_Wood_transforms,0.0,0.0,29556.22054746239,0.0,0.0,0.0,29556.22054746239
SE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,29952.806524330794,0.0,0.0,0.0,29952.806524330794
co2_sink_MIDAT_Bio_H2_Wood_transforms,0.0,0.0,30649.60483253781,0.0,0.0,0.0,30649.60483253781
MIDAT_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,31064.277618354212,0.0,0.0,0.0,31064.277618354212
co2_sink_NE_Bio_H2_Wood_transforms,0.0,0.0,27782.01867458304,0.0,0.0,0.0,27782.01867458304
NE_Bio_H2_Wood_transforms_co2_sink,0.0,0.0,28153.77761920273,0.0,0.0,0.0,28153.77761920273
co2_sink_CA_Bio_H2_Agri_transforms,0.0,0.0,16791.949047477574,0.0,0.0,0.0,16791.949047477574
CA_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,17030.633225855378,0.0,0.0,0.0,17030.633225855378
co2_sink_NW_Bio_H2_Agri_transforms,0.0,0.0,16073.267339210177,0.0,0.0,0.0,16073.267339210177
NW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,16309.287578906966,0.0,0.0,0.0,16309.287578906966
co2_sink_SW_Bio_H2_Agri_transforms,0.0,0.0,18683.581149861748,0.0,0.0,0.0,18683.581149861748
SW_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,18954.190900409314,0.0,0.0,0.0,18954.190900409314
co2_sink_TX_Bio_H2_Agri_transforms,0.0,0.0,20058.33150589657,0.0,0.0,0.0,20058.33150589657
TX_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,20358.4598559938,0.0,0.0,0.0,20358.4598559938
co2_sink_NCEN_Bio_H2_Agri_transforms,0.0,0.0,29442.02129285608,0.0,0.0,0.0,29442.02129285608
NCEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,29862.71877512155,0.0,0.0,0.0,29862.71877512155
co2_sink_CEN_Bio_H2_Agri_transforms,0.0,0.0,24175.423728098493,0.0,0.0,0.0,24175.423728098493
CEN_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,24522.898736645533,0.0,0.0,0.0,24522.898736645533
co2_sink_SE_Bio_H2_Agri_transforms,0.0,0.0,24261.752319306404,0.0,0.0,0.0,24261.752319306404
SE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,24612.739226314232,0.0,0.0,0.0,24612.739226314232
co2_sink_MIDAT_Bio_H2_Agri_transforms,0.0,0.0,24638.66011259973,0.0,0.0,0.0,24638.66011259973
MIDAT_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,24991.13454597343,0.0,0.0,0.0,24991.13454597343
co2_sink_NE_Bio_H2_Agri_transforms,0.0,0.0,21485.159743292024,0.0,0.0,0.0,21485.159743292024
NE_Bio_H2_Agri_transforms_co2_sink,0.0,0.0,21791.266463072036,0.0,0.0,0.0,21791.266463072036
co2_sink_CA_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,2617.3323549725073,0.0,0.0,0.0,2617.3323549725073
CA_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,63.33338336558297,0.0,0.0,0.0,63.33338336558297
co2_sink_NW_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,29165.298861639476,0.0,0.0,0.0,29165.298861639476
NW_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,704.5331735181685,0.0,0.0,0.0,704.5331735181685
co2_sink_SW_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,37807.22950473927,0.0,0.0,0.0,37807.22950473927
SW_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,918.3003624707628,0.0,0.0,0.0,918.3003624707628
co2_sink_TX_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,54690.443616689336,0.0,0.0,0.0,54690.443616689336
TX_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1326.5532624116142,0.0,0.0,0.0,1326.5532624116142
co2_sink_NCEN_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,43219.73178184186,0.0,0.0,0.0,43219.73178184186
NCEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1039.1169974908487,0.0,0.0,0.0,1039.1169974908487
co2_sink_CEN_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,54187.34296147915,0.0,0.0,0.0,54187.34296147915
CEN_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1310.31522783167,0.0,0.0,0.0,1310.31522783167
co2_sink_SE_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,44176.44876707945,0.0,0.0,0.0,44176.44876707945
SE_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,1070.4289440909524,0.0,0.0,0.0,1070.4289440909524
co2_sink_MIDAT_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,33592.144340491075,0.0,0.0,0.0,33592.144340491075
MIDAT_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,808.7311760108005,0.0,0.0,0.0,808.7311760108005
co2_sink_NE_Bio_H2_CCS_99_Herb_transforms,0.0,0.0,28440.414299253887,0.0,0.0,0.0,28440.414299253887
NE_Bio_H2_CCS_99_Herb_transforms_co2_sink,0.0,0.0,682.6386492904844,0.0,0.0,0.0,682.6386492904844
co2_sink_CA_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,30825.766456394453,0.0,0.0,0.0,30825.766456394453
CA_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,716.941019026482,0.0,0.0,0.0,716.941019026482
co2_sink_NW_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,30394.695130967775,0.0,0.0,0.0,30394.695130967775
NW_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,712.4565951980002,0.0,0.0,0.0,712.4565951980002
co2_sink_SW_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,34904.65216152883,0.0,0.0,0.0,34904.65216152883
SW_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,823.3890103928173,0.0,0.0,0.0,823.3890103928173
co2_sink_TX_Bio_H2_CCS_99_Wood_transforms,0.0,0.0,36686.59465801028,0.0,0.0,0.0,36686.59465801028
TX_Bio_H2_CCS_99_Wood_transforms_co2_sink,0.0,0.0,859.1274303194896,0.0,0.0,0.0,859.1274303194896
