zone,Investment,FixedOM,VariableOM,Fuel,Startup,Total
CA,2.8555807342900463e-5,9.91883363581562e-6,5.424740253330422e-6,4.2367483949190905e-6,2.0886953727638824e-6,5.0224824999729474e-5
NW,2.898218225330031e-5,1.0672239583839037e-5,6.549451379836745e-6,4.141333797229756e-6,2.135500593186565e-6,5.248070760739242e-5
SW,3.0037737955906903e-5,1.0901074036970024e-5,6.2828174189847746e-6,4.57243596404736e-6,2.1507090344705877e-6,5.3944774410379644e-5
TX,2.6550734182869846e-5,1.0262403468914922e-5,5.5178818080521275e-6,3.0018842177222287e-5,2.1377282939559236e-6,7.448758993101511e-5
NCEN,3.207683184677592e-5,1.1323948911568296e-5,5.88565979162286e-6,5.2644633523072445e-6,2.104902539337856e-6,5.665580644161218e-5
CEN,3.296206266667758e-5,1.1374589483897832e-5,4.976119582081926e-6,5.2720742580775775e-6,2.1255784020504284e-6,5.6710424392785336e-5
SE,3.171108613599348e-5,1.130551456425171e-5,5.033926192384534e-6,4.371530362804348e-6,2.1232765451051172e-6,5.4545333800539185e-5
MIDAT,3.1421677699750053e-5,1.0825402295633459e-5,4.28615490772544e-6,4.426408701448303e-6,2.100375117557488e-6,5.3060018722114743e-5
NE,2.9270504397319664e-5,1.0089041095436574e-5,4.1025329671592455e-6,3.8781395828843015e-6,2.2088425002568606e-6,4.954906054305664e-5
co2_sink_CA_Bio_H2_Herb_transforms,0.0,0.0,4.9205480252650304e-8,0.0,0.0,4.9205480252650304e-8
CA_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,4.990408415214465e-8,0.0,0.0,4.990408415214465e-8
co2_sink_NW_Bio_H2_Herb_transforms,0.0,0.0,5.484859912821072e-8,0.0,0.0,5.484859912821072e-8
NW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.5625066390113e-8,0.0,0.0,5.5625066390113e-8
co2_sink_SW_Bio_H2_Herb_transforms,0.0,0.0,5.676247664651533e-8,0.0,0.0,5.676247664651533e-8
SW_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.757355652363427e-8,0.0,0.0,5.757355652363427e-8
co2_sink_TX_Bio_H2_Herb_transforms,0.0,0.0,5.757823638621756e-8,0.0,0.0,5.757823638621756e-8
TX_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,5.839905262845511e-8,0.0,0.0,5.839905262845511e-8
co2_sink_NCEN_Bio_H2_Herb_transforms,0.0,0.0,6.038243690307811e-8,0.0,0.0,6.038243690307811e-8
NCEN_Bio_H2_Herb_transforms_co2_sink,0.0,0.0,6.123036648875994e-8,0.0,0.0,6.123036648875994e-8
