time,co2_CA_to_NW_storage,co2_NW_to_CA_storage,co2_CA_to_SW_storage,co2_SW_to_CA_storage,co2_NW_to_SW_storage,co2_SW_to_NW_storage,co2_SW_to_CEN_storage,co2_CEN_to_SW_storage,co2_TX_to_CEN_storage,co2_CEN_to_TX_storage,co2_NCEN_to_CEN_storage,co2_CEN_to_NCEN_storage,co2_NCEN_to_SE_storage,co2_SE_to_NCEN_storage,co2_NCEN_to_MIDAT_storage,co2_MIDAT_to_NCEN_storage,co2_CEN_to_SE_storage,co2_SE_to_CEN_storage,co2_SE_to_MIDAT_storage,co2_MIDAT_to_SE_storage,co2_MIDAT_to_NE_storage,co2_NE_to_MIDAT_storage,CA_battery_moderate_0_storage,NW_battery_moderate_0_storage,SW_battery_moderate_0_storage,TX_battery_moderate_0_storage,NCEN_battery_moderate_0_storage,CEN_battery_moderate_0_storage,SE_battery_moderate_0_storage,MIDAT_battery_moderate_0_storage,NE_battery_moderate_0_storage,CA_hydroelectric_pumped_storage_1_storage,CEN_hydroelectric_pumped_storage_1_storage,MIDAT_hydroelectric_pumped_storage_1_storage,NE_hydroelectric_pumped_storage_1_storage,NW_hydroelectric_pumped_storage_1_storage,NCEN_hydroelectric_pumped_storage_1_storage,SE_hydroelectric_pumped_storage_1_storage,SW_hydroelectric_pumped_storage_1_storage,h2_CA_to_NW_storage,h2_NW_to_CA_storage,h2_CA_to_SW_storage,h2_SW_to_CA_storage,h2_NW_to_SW_storage,h2_SW_to_NW_storage,h2_SW_to_CEN_storage,h2_CEN_to_SW_storage,h2_TX_to_CEN_storage,h2_CEN_to_TX_storage,h2_NCEN_to_CEN_storage,h2_CEN_to_NCEN_storage,h2_NCEN_to_SE_storage,h2_SE_to_NCEN_storage,h2_NCEN_to_MIDAT_storage,h2_MIDAT_to_NCEN_storage,h2_CEN_to_SE_storage,h2_SE_to_CEN_storage,h2_SE_to_MIDAT_storage,h2_MIDAT_to_SE_storage,h2_MIDAT_to_NE_storage,h2_NE_to_MIDAT_storage,CA_Above_ground_storage_storage,NW_Above_ground_storage_storage,SW_Above_ground_storage_storage,TX_Above_ground_storage_storage,NCEN_Above_ground_storage_storage,CEN_Above_ground_storage_storage,SE_Above_ground_storage_storage,MIDAT_Above_ground_storage_storage,NE_Above_ground_storage_storage,CA_conventional_hydroelectric_1_storage,CEN_conventional_hydroelectric_1_storage,MIDAT_conventional_hydroelectric_1_storage,NE_conventional_hydroelectric_1_storage,NW_conventional_hydroelectric_1_storage,NCEN_conventional_hydroelectric_1_storage,SE_conventional_hydroelectric_1_storage,SW_conventional_hydroelectric_1_storage,TX_conventional_hydroelectric_1_storage,natgas_CA_to_SW_storage,natgas_NW_to_CA_storage,natgas_NW_to_SW_storage,natgas_NW_to_NCEN_storage,natgas_NW_to_CEN_storage,natgas_SW_to_CA_storage,natgas_SW_to_NW_storage,natgas_SW_to_TX_storage,natgas_SW_to_CEN_storage,natgas_TX_to_CEN_storage,natgas_NCEN_to_NW_storage,natgas_NCEN_to_CEN_storage,natgas_NCEN_to_SE_storage,natgas_NCEN_to_MIDAT_storage,natgas_CEN_to_NW_storage,natgas_CEN_to_SW_storage,natgas_CEN_to_TX_storage,natgas_CEN_to_NCEN_storage,natgas_CEN_to_SE_storage,natgas_SE_to_NCEN_storage,natgas_SE_to_CEN_storage,natgas_SE_to_MIDAT_storage,natgas_MIDAT_to_NCEN_storage,natgas_MIDAT_to_SE_storage,natgas_MIDAT_to_NE_storage,natgas_NE_to_MIDAT_storage
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6276556667098436e-11,1.6445202225534127e-11,1.663781813551322e-11,1.671323077476936e-11,1.672232420420628e-11,1.6666102908344835e-11,1.653885299694449e-11,1.6761133977741947e-11,1.650515332894838e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.951344924359293e-10,7.904701822377689e-10,7.941312596408496e-10,7.967911316368212e-10,7.979064189605826e-10,7.972759879610404e-10,7.968355809666777e-10,7.9789747504906e-10,7.948624931500502e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5529.68675637739,14390.799322327452,73019.6223166602,20270.759352493824,17507.796572800355,59908.59259798608,52874.88780674439,27262.381257550118,30859.10171153312,160471.8959781392,2293.6378324450225,41624.934368663016,19361.005315070528,45543.13169615964,538.6308334181261,20894.004418939265,83820.214963119,78023.37584284162,205638.73434027223,32652.61730767509,67912.3635316736,66241.46799175386,67412.7443564375,75428.3537084806,64492.34939416377,11294.944249984392
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6171517418530617e-11,1.6335365870915663e-11,1.652752794150356e-11,1.66046607056391e-11,1.6613935670720018e-11,1.6562123185855315e-11,1.642879599341454e-11,1.6648209820604907e-11,1.642509838377046e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.962861350804282e-10,7.923583938026237e-10,7.953858797806126e-10,7.980977956331081e-10,7.995725676410517e-10,7.987385036355155e-10,7.984307296984127e-10,7.994630976790633e-10,7.969667268927714e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.364349283917,14391.217941866245,73050.76532527305,20270.355205093598,17506.90956067914,59917.77747113234,52849.226708624774,27255.09563801085,30854.811507430466,160559.93716742317,2293.3913423907975,41633.0599038084,19368.798882746923,45559.589982700265,538.5783760159652,20893.94214268434,83665.74777127065,78020.25881051723,205635.01755791105,32675.41773220527,67927.26828979774,66273.08572763935,67409.11319276218,75449.45981701586,64449.38552289515,11292.457896530628
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.62869558822151e-11,1.6453378077469404e-11,1.6646497179653915e-11,1.6714655960007355e-11,1.6737545661498316e-11,1.6683082846021324e-11,1.654942191089701e-11,1.6772462778989775e-11,1.65434799413498e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.966660668342842e-10,7.926170871141353e-10,7.959537733659931e-10,7.981702346259422e-10,7.993326499698513e-10,7.986995297351987e-10,7.979382725653474e-10,7.984358168915921e-10,7.968844050379137e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5523.933011220871,14388.984913293472,73098.7936765973,20270.294985817596,17505.183688469428,59920.56642253826,52847.566996565,27254.34801311042,30850.76551675376,160400.02306864748,2293.2549268934913,41636.311739502744,19372.01039107446,45567.58310252806,538.5135556874332,20893.50843804938,83722.94002212065,78016.00886605482,205639.10476319527,32685.719850655885,67949.39099317922,66261.14365598676,67379.04400867525,75466.62547871805,64491.13390646056,11295.279831913793
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.616061210286112e-11,1.6322697121972755e-11,1.651154149423683e-11,1.6584120200673283e-11,1.6600330137218464e-11,1.6550027431731433e-11,1.641366384601986e-11,1.663400859539357e-11,1.6417841037034702e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.980971430459045e-10,7.934273595057038e-10,7.97718572893104e-10,7.996968113391009e-10,8.008660749488884e-10,8.002847139160336e-10,7.993769512507364e-10,8.001371034339737e-10,7.989550523537052e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.276508768364,14389.011550644174,73104.07463530538,20274.141403099973,17508.89586005813,59923.084717544465,52872.81131333968,27271.64076437388,30860.372872745957,160204.11995150783,2294.103833897989,41643.40209535366,19372.182503154203,45586.48862384924,538.6696719807582,20897.045507723233,83797.24879394249,78024.53211941119,205681.44954465353,32683.778869380083,67930.33229936384,66250.27136533192,67377.44998944808,75409.05216201417,64549.52489142042,11298.071975396697
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6019370791192894e-11,1.6179990644042705e-11,1.6363220395465677e-11,1.643038214506269e-11,1.643968439017022e-11,1.6393345502825242e-11,1.6255964316928672e-11,1.6470691558753674e-11,1.627140136434072e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.993748134843408e-10,7.943067929575552e-10,7.992979004286318e-10,8.008985430827401e-10,8.020488369663295e-10,8.01535931047568e-10,8.004096877349766e-10,8.014536495385969e-10,8.00742407229723e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.9618856042,14389.395135764205,73116.88362135581,20275.403532066783,17511.118920679055,59925.73244304593,52891.33315080512,27281.36378891937,30867.05175964614,160084.40936183007,2294.6395784942124,41656.296336689986,19377.04484587778,45617.765166695346,538.7501808466285,20900.345153734816,83830.31600756227,78039.35504632788,205517.63043480998,32696.087280299264,67955.93421603604,66293.1172322175,67419.94587048933,75452.72153421394,64507.958267990325,11299.473071707367
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.606727635092363e-11,1.622946089116248e-11,1.6411570471854737e-11,1.645063323713506e-11,1.6467661598458025e-11,1.6419272178010463e-11,1.628490356370954e-11,1.6499348200967795e-11,1.6312405187335053e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.99734127081235e-10,7.943222716351849e-10,7.999100239840539e-10,8.007710015395203e-10,8.014172981728282e-10,8.012056907040676e-10,7.994130342989138e-10,8.002502519087111e-10,8.001243245941629e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5523.9800181786895,14386.457736008026,73166.73354377566,20273.350736083623,17508.78513266553,59927.106481079936,52887.88393519036,27282.177441903394,30870.613058866038,159991.76608240444,2294.293511620607,41667.9209926043,19384.679346330788,45637.37174044241,538.6202345281291,20901.95856887923,83863.32518272172,78042.23006721861,205334.1803302009,32717.482381271508,68004.8046149668,66311.76838415998,67418.6079973397,75511.17892950792,64517.74687563688,11303.010500124208
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.585213450663832e-11,1.6010392209568833e-11,1.618844229140164e-11,1.620441888658759e-11,1.621105124763721e-11,1.616853814977487e-11,1.6034750967389805e-11,1.624466421086214e-11,1.608282130874483e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.011542067337543e-10,7.952385924926029e-10,8.016662435693687e-10,8.02175946424014e-10,8.027455887753136e-10,8.026466899318642e-10,8.007384360807094e-10,8.018804122104873e-10,8.02011070167941e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5526.926689278131,14389.02173799276,73155.81239123932,20276.955097283924,17511.774347517654,59927.45717496546,52909.082540293326,27283.711744658824,30871.128979364104,159936.14651153702,2294.8793052630554,41655.03796099299,19378.179200860315,45629.09851152642,538.7465437256043,20901.11798841552,83851.32956026695,78041.44362047699,205487.43081712507,32698.251123166894,67960.21586146203,66293.1359564228,67419.39339054641,75464.00538259343,64566.874467222086,11300.876919512299
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5775621871478178e-11,1.5932200819328126e-11,1.611132311084246e-11,1.6134281438764766e-11,1.613865148717506e-11,1.609630233630881e-11,1.5961853997552718e-11,1.617149365319176e-11,1.5984866005210014e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.02608914171126e-10,7.966343963610469e-10,8.033393512902484e-10,8.036734144393279e-10,8.043420265879357e-10,8.04300484330754e-10,8.025124629850332e-10,8.037440244078594e-10,8.044118158032731e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.7191924409935,14389.630155428347,73159.17824353212,20278.674058578814,17513.666247392197,59928.37364396058,52912.788236418935,27287.41471707741,30874.49641480064,159917.74711165333,2295.0972475967174,41659.0389877692,19378.160399558084,45630.603077200176,538.7963184105922,20902.601489041703,83834.15339089806,78041.22245893865,205466.48605947598,32697.08388685139,67958.57750530566,66295.11552415845,67416.992657835,75476.16793312505,64584.43240232893,11303.816463932375
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6036499990584994e-11,1.619796028745348e-11,1.6388012839995017e-11,1.6410755747720994e-11,1.6425316269815293e-11,1.637516168525869e-11,1.6244787997306178e-11,1.6464507181620652e-11,1.626848873503843e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.033118175274286e-10,7.973742548225538e-10,8.042138584750027e-10,8.041844916780529e-10,8.044409973889912e-10,8.046950716582908e-10,8.02753154078762e-10,8.035866543591358e-10,8.054044207366266e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5524.169573053864,14386.195644444106,73188.08499047034,20274.651397482306,17510.35908176535,59930.09272892459,52894.53642728412,27283.88432807115,30876.647273125836,159963.07487642183,2294.114310117985,41671.8854597591,19383.036018390332,45636.2439877812,538.6459323192914,20904.967947651778,83823.2389385123,78049.86410488794,205332.07441967956,32711.238063846093,67986.44730738475,66309.03116519027,67423.26566057204,75501.86223722472,64567.1917532984,11303.230196050145
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.603078057810412e-11,1.6191336425217047e-11,1.6381938254796115e-11,1.641717177989073e-11,1.6433903230248773e-11,1.638286875414149e-11,1.6253258023234388e-11,1.64721461137471e-11,1.627415764003524e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.052221950445273e-10,7.990442239531623e-10,8.064335658841797e-10,8.063668990788519e-10,8.067646007501035e-10,8.06977449574871e-10,8.054764943204002e-10,8.064885258118858e-10,8.088231515609658e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5527.579884527105,14390.121471623188,73136.6877830406,20275.263586073568,17511.048185205527,59924.41369574879,52903.601874154,27281.01232052857,30870.507972970565,160095.232595369,2294.290561747202,41655.34095183627,19374.305177943086,45610.25101443379,538.6957378191179,20902.056320110067,83857.91633022204,78060.95077941913,205326.94666653223,32688.665770803167,67963.85445185052,66289.10807336173,67428.39874962816,75479.45536015308,64582.32613178009,11300.002376828768
