Time_Index,Global_Ethylene_Demand_tonne_p_hr,Demand_Zero,Demand_Test
1,5707.76275,0,100
2,5707.76275,0,100
3,5707.76275,0,100
4,5707.76275,0,100
5,5707.76275,0,100
6,5707.76275,0,100
7,5707.76275,0,100
8,5707.76275,0,100
9,5707.76275,0,100
10,5707.76275,0,100
11,5707.76275,0,100
12,5707.76275,0,100
13,5707.76275,0,100
14,5707.76275,0,100
15,5707.76275,0,100
16,5707.76275,0,100
17,5707.76275,0,100
18,5707.76275,0,100
19,5707.76275,0,100
20,5707.76275,0,100
21,5707.76275,0,100
22,5707.76275,0,100
23,5707.76275,0,100
24,5707.76275,0,100
25,5707.76275,0,100
26,5707.76275,0,100
27,5707.76275,0,100
28,5707.76275,0,100
29,5707.76275,0,100
30,5707.76275,0,100
31,5707.76275,0,100
32,5707.76275,0,100
33,5707.76275,0,100
34,5707.76275,0,100
35,5707.76275,0,100
36,5707.76275,0,100
37,5707.76275,0,100
38,5707.76275,0,100
39,5707.76275,0,100
40,5707.76275,0,100
41,5707.76275,0,100
42,5707.76275,0,100
43,5707.76275,0,100
44,5707.76275,0,100
45,5707.76275,0,100
46,5707.76275,0,100
47,5707.76275,0,100
48,5707.76275,0,100
49,5707.76275,0,100
50,5707.76275,0,100
51,5707.76275,0,100
52,5707.76275,0,100
53,5707.76275,0,100
54,5707.76275,0,100
55,5707.76275,0,100
56,5707.76275,0,100
57,5707.76275,0,100
58,5707.76275,0,100
59,5707.76275,0,100
60,5707.76275,0,100
61,5707.76275,0,100
62,5707.76275,0,100
63,5707.76275,0,100
64,5707.76275,0,100
65,5707.76275,0,100
66,5707.76275,0,100
67,5707.76275,0,100
68,5707.76275,0,100
69,5707.76275,0,100
70,5707.76275,0,100
71,5707.76275,0,100
72,5707.76275,0,100
73,5707.76275,0,100
74,5707.76275,0,100
75,5707.76275,0,100
76,5707.76275,0,100
77,5707.76275,0,100
78,5707.76275,0,100
79,5707.76275,0,100
80,5707.76275,0,100
81,5707.76275,0,100
82,5707.76275,0,100
83,5707.76275,0,100
84,5707.76275,0,100
85,5707.76275,0,100
86,5707.76275,0,100
87,5707.76275,0,100
88,5707.76275,0,100
89,5707.76275,0,100
90,5707.76275,0,100
91,5707.76275,0,100
92,5707.76275,0,100
93,5707.76275,0,100
94,5707.76275,0,100
95,5707.76275,0,100
96,5707.76275,0,100
97,5707.76275,0,100
98,5707.76275,0,100
99,5707.76275,0,100
100,5707.76275,0,100
101,5707.76275,0,100
102,5707.76275,0,100
103,5707.76275,0,100
104,5707.76275,0,100
105,5707.76275,0,100
106,5707.76275,0,100
107,5707.76275,0,100
108,5707.76275,0,100
109,5707.76275,0,100
110,5707.76275,0,100
111,5707.76275,0,100
112,5707.76275,0,100
113,5707.76275,0,100
114,5707.76275,0,100
115,5707.76275,0,100
116,5707.76275,0,100
117,5707.76275,0,100
118,5707.76275,0,100
119,5707.76275,0,100
120,5707.76275,0,100
121,5707.76275,0,100
122,5707.76275,0,100
123,5707.76275,0,100
124,5707.76275,0,100
125,5707.76275,0,100
126,5707.76275,0,100
127,5707.76275,0,100
128,5707.76275,0,100
129,5707.76275,0,100
130,5707.76275,0,100
131,5707.76275,0,100
132,5707.76275,0,100
133,5707.76275,0,100
134,5707.76275,0,100
135,5707.76275,0,100
136,5707.76275,0,100
137,5707.76275,0,100
138,5707.76275,0,100
139,5707.76275,0,100
140,5707.76275,0,100
141,5707.76275,0,100
142,5707.76275,0,100
143,5707.76275,0,100
144,5707.76275,0,100
145,5707.76275,0,100
146,5707.76275,0,100
147,5707.76275,0,100
148,5707.76275,0,100
149,5707.76275,0,100
150,5707.76275,0,100
151,5707.76275,0,100
152,5707.76275,0,100
153,5707.76275,0,100
154,5707.76275,0,100
155,5707.76275,0,100
156,5707.76275,0,100
157,5707.76275,0,100
158,5707.76275,0,100
159,5707.76275,0,100
160,5707.76275,0,100
161,5707.76275,0,100
162,5707.76275,0,100
163,5707.76275,0,100
164,5707.76275,0,100
165,5707.76275,0,100
166,5707.76275,0,100
167,5707.76275,0,100
168,5707.76275,0,100
