2026-03-04 08:32:46 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/ETHYLENESYSTEM_ethanol+ethylene/ethylene_liquid_fuels
2026-03-04 08:32:46 | INFO | 1 | MacroEnergy | user_additions.jl:19 |  ++ Loading user additions from MacroEnergyExamples/ETHYLENESYSTEM_ethanol+ethylene/ethylene_liquid_fuels/tmp/UserAdditions.jl
2026-03-04 08:32:46 | INFO | 1 | MacroEnergy | user_additions.jl:23 |  ++ Successfully loaded UserAdditions module.
2026-03-04 08:32:46 | INFO | 1 | MacroEnergy | load_stages_data.jl:36 | Loading case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/ETHYLENESYSTEM_ethanol+ethylene/ethylene_liquid_fuels/system_data.json
2026-03-04 08:32:46 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-03-04 08:32:46 | WARN | 1 | MacroEnergy | load_json_inputs.jl:137 | Could not find: "system/locations.json", full path: /Users/abbie/MacroEnergy-Abbie.jl/system/locations.json
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 2.4 seconds
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | load_stages_data.jl:19 | Done loading case data. It took 2.4 seconds
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | case_settings.jl:126 | Configuring case
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | case_settings.jl:150 |  -- Setting solution algorithm
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | case_settings.jl:161 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-03-04 08:32:49 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
