commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Hydrogen,flow,SE_ATR_wCCS_94pct_transforms,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,336655152.7093564,,SE,336655152.7093564
Hydrogen,flow,SE_Above_ground_storage_transforms,h2_SE,SE_Above_ground_storage,SE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,346861523.78561777,,SE,346861523.78561777
Hydrogen,flow,SE_BECCS_H2_Herb_transforms,h2_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_BECCS_H2_Wood_transforms,h2_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,46520616.38485979,,SE,46520616.38485979
Hydrogen,flow,SE_ESC_transforms,h2_SE,SE_ESC,SE_ESC_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_Electrolyzer_transforms,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,flow,504,903028765.2707978,,SE,903028765.2707978
Hydrogen,flow,SE_Large_SMR_Non_CCS_transforms,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_Large_SMR_wCCS_96pct_transforms,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_TSC_CCS_90_H2prod_transforms,h2_SE,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_TSC_CCS_90_transforms,h2_SE,SE_TSC_CCS_90,SE_TSC_CCS_90_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_TSC_Non_CCS_H2fuel_transforms,h2_SE,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_TSC_Non_CCS_H2prod_transforms,h2_SE,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_TSC_Non_CCS_transforms,h2_SE,SE_TSC_Non_CCS,SE_TSC_Non_CCS_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
Hydrogen,flow,h2_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,346861523.7856178,,SE,-346861523.7856178
Hydrogen,flow,h2_SE,SE_CCGT-H2_transforms,SE_CCGT-H2,SE_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,11804655.12942641,,SE,-11804655.12942641
Hydrogen,flow,h2_SE,SE_ESC_transforms,SE_ESC,SE_ESC_h2_consumption_edge,SteamCracker,flow,504,0.0,,SE,-0.0
Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_H2fuel_transforms,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_h2_consumption_edge,EthanolDehydration,flow,504,3.6356862255783564e-12,,SE,-3.6356862255783564e-12
Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_NGfuel_transforms,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_h2_consumption_edge,EthanolDehydration,flow,504,0.0,,SE,-0.0
Hydrogen,flow,h2_SE,SE_Ethanol_Diesel_Upgrade_transforms,SE_Ethanol_Diesel_Upgrade,SE_Ethanol_Diesel_Upgrade_h2_consumption_edge,EthanolUpgrade,flow,504,0.0,,SE,-0.0
