,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Gasoline,flow,SE_BECCS_FT_Herb_transforms,gasoline_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,15757998.83240796,,SE,15757998.83240796
1,Gasoline,flow,SE_BECCS_FT_Wood_transforms,gasoline_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,11907259.700989643,,SE,11907259.700989643
2,Gasoline,flow,SE_Bio_FT_Herb_transforms,gasoline_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,27496870.55159467,,SE,27496870.55159467
3,Gasoline,flow,SE_Bio_FT_Wood_transforms,gasoline_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,2.692819314544458e-11,,SE,2.692819314544458e-11
4,Gasoline,flow,SE_Bio_Gasoline_Herb_transforms,gasoline_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,305967009.8152572,,SE,305967009.8152572
5,Gasoline,flow,SE_Bio_Gasoline_Wood_transforms,gasoline_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,-8.633364959318275e-11,,SE,-8.633364959318275e-11
6,Gasoline,flow,SE_Ethanol_Diesel_Upgrade_transforms,gasoline_SE,SE_Ethanol_Diesel_Upgrade,SE_Ethanol_Diesel_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,0.0,,SE,0.0
7,Gasoline,flow,SE_Ethanol_Gasoline_Upgrade_transforms,gasoline_SE,SE_Ethanol_Gasoline_Upgrade,SE_Ethanol_Gasoline_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,-1.0536116350286742e-09,,SE,-1.0536116350286742e-09
8,Gasoline,flow,SE_Ethanol_JetFuel_Upgrade_transforms,gasoline_SE,SE_Ethanol_JetFuel_Upgrade,SE_Ethanol_JetFuel_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,0.0,,SE,0.0
9,Gasoline,flow,SE_Ethanol_Multiproduct_Upgrade_transforms,gasoline_SE,SE_Ethanol_Multiproduct_Upgrade,SE_Ethanol_Multiproduct_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,-4.0127705798003375e-11,,SE,-4.0127705798003375e-11
10,Gasoline,flow,SE_Gasoline_Fossil_Upstream_transforms,gasoline_SE,SE_Gasoline_Fossil_Upstream,SE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,306806.3488491294,,SE,306806.3488491294
11,Gasoline,flow,SE_Synthetic_FT_transforms,gasoline_SE,SE_Synthetic_FT,SE_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,0.0
12,Gasoline,flow,Synthetic_Ethylene_CCS_90_transforms,gasoline_SE,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_gasoline_production_edge,SyntheticEthylene,flow,504,0.0,,SE,0.0
13,Gasoline,flow,Synthetic_Ethylene_Non_CCS_transforms,gasoline_SE,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_gasoline_production_edge,SyntheticEthylene,flow,504,19466944.67650134,,SE,19466944.67650134
14,Gasoline,flow,gasoline_SE,SE_Gasoline_Use_transforms,SE_Gasoline_Use,SE_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,380902889.9256,,SE,-380902889.9256
