commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Ethanol,flow,SE_Biochemical_CCS_20_transforms,ethanol_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_ethanol_production_edge,BioEthanol,flow,504,0.0,,SE,0.0
Ethanol,flow,SE_Biochemical_CCS_86_transforms,ethanol_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_ethanol_production_edge,BioEthanol,flow,504,0.0,,SE,0.0
Ethanol,flow,SE_Biochemical_Non_CCS_transforms,ethanol_SE,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_ethanol_production_edge,BioEthanol,flow,504,8.20793982231887e-12,,SE,8.20793982231887e-12
Ethanol,flow,SE_DryMill_Existing_Non_CCS_transforms,ethanol_SE,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_ethanol_production_edge,BioEthanol,flow,504,25701840.0,,SE,25701840.0
Ethanol,flow,ethanol_SE,SE_Ethanol_Dehydration_H2fuel_transforms,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_ethanol_consumption_edge,EthanolDehydration,flow,504,20876880.582801495,,SE,-20876880.582801495
Ethanol,flow,ethanol_SE,SE_Ethanol_Dehydration_NGfuel_transforms,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_ethanol_consumption_edge,EthanolDehydration,flow,504,0.0,,SE,-0.0
Ethanol,flow,ethanol_SE,SE_Ethanol_Diesel_Upgrade_transforms,SE_Ethanol_Diesel_Upgrade,SE_Ethanol_Diesel_Upgrade_ethanol_consumption_edge,EthanolUpgrade,flow,504,4336633.663366336,,SE,-4336633.663366336
Ethanol,flow,ethanol_SE,SE_Ethanol_Gasoline_Upgrade_transforms,SE_Ethanol_Gasoline_Upgrade,SE_Ethanol_Gasoline_Upgrade_ethanol_consumption_edge,EthanolUpgrade,flow,504,0.0,,SE,-0.0
Ethanol,flow,ethanol_SE,SE_Ethanol_JetFuel_Upgrade_transforms,SE_Ethanol_JetFuel_Upgrade,SE_Ethanol_JetFuel_Upgrade_ethanol_consumption_edge,EthanolUpgrade,flow,504,488325.75383217225,,SE,-488325.75383217225
Ethanol,flow,ethanol_SE,SE_Ethanol_Multiproduct_Upgrade_transforms,SE_Ethanol_Multiproduct_Upgrade,SE_Ethanol_Multiproduct_Upgrade_ethanol_consumption_edge,EthanolUpgrade,flow,504,0.0,,SE,-0.0
