,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Hydrogen,flow,SE_ATR_wCCS_94pct_transforms,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
1,Hydrogen,flow,SE_Above_ground_storage_transforms,h2_SE,SE_Above_ground_storage,SE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,19163979.574585576,,SE,19163979.574585576
2,Hydrogen,flow,SE_BECCS_H2_Herb_transforms,h2_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,SE,0.0
3,Hydrogen,flow,SE_BECCS_H2_Wood_transforms,h2_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,0.0,,SE,0.0
4,Hydrogen,flow,SE_ESC_transforms,h2_SE,SE_ESC,SE_ESC_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
5,Hydrogen,flow,SE_Electrolyzer_transforms,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,flow,504,79618210.52316603,,SE,79618210.52316603
6,Hydrogen,flow,SE_Large_SMR_Non_CCS_transforms,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,32284146.864160262,,SE,32284146.864160262
7,Hydrogen,flow,SE_Large_SMR_wCCS_96pct_transforms,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
8,Hydrogen,flow,SE_TSC_CCS_90_H2prod_transforms,h2_SE,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
9,Hydrogen,flow,SE_TSC_CCS_90_transforms,h2_SE,SE_TSC_CCS_90,SE_TSC_CCS_90_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
10,Hydrogen,flow,SE_TSC_Non_CCS_H2fuel_transforms,h2_SE,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
11,Hydrogen,flow,SE_TSC_Non_CCS_H2prod_transforms,h2_SE,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_h2_production_edge,SteamCracker,flow,504,17493792.612673715,,SE,17493792.612673715
12,Hydrogen,flow,SE_TSC_Non_CCS_transforms,h2_SE,SE_TSC_Non_CCS,SE_TSC_Non_CCS_h2_production_edge,SteamCracker,flow,504,0.0,,SE,0.0
13,Hydrogen,flow,h2_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,19163979.574585572,,SE,-19163979.574585572
14,Hydrogen,flow,h2_SE,SE_CCGT-H2_transforms,SE_CCGT-H2,SE_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,SE,-0.0
15,Hydrogen,flow,h2_SE,SE_ESC_transforms,SE_ESC,SE_ESC_h2_consumption_edge,SteamCracker,flow,504,0.0,,SE,-0.0
16,Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_H2fuel_transforms,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_h2_consumption_edge,EthanolDehydration,flow,504,0.0,,SE,-0.0
17,Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_NGfuel_transforms,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_h2_consumption_edge,EthanolDehydration,flow,504,0.0,,SE,-0.0
18,Hydrogen,flow,h2_SE,SE_OCGT-H2_transforms,SE_OCGT-H2,SE_OCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,SE,-0.0
19,Hydrogen,flow,h2_SE,SE_Synthetic_FT_transforms,SE_Synthetic_FT,SE_Synthetic_FT_h2_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,-0.0
20,Hydrogen,flow,h2_SE,SE_Synthetic_NaturalGas_transforms,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_h2_edge,SyntheticNaturalGas,flow,504,0.0,,SE,-0.0
