commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
Diesel,flow,SE_BECCS_FT_Herb_transforms,diesel_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,
Diesel,flow,SE_BECCS_FT_Wood_transforms,diesel_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,
Diesel,flow,SE_Bio_FT_Herb_transforms,diesel_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,1.7495328384205573e-11,
Diesel,flow,SE_Bio_FT_Wood_transforms,diesel_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,
Diesel,flow,SE_Diesel_Fossil_Upstream_transforms,diesel_SE,SE_Diesel_Fossil_Upstream,SE_Diesel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,165896384.70163274,
Diesel,flow,SE_Ethanol_Diesel_Upgrade_transforms,diesel_SE,SE_Ethanol_Diesel_Upgrade,SE_Ethanol_Diesel_Upgrade_diesel_production_edge,EthanolUpgrade,flow,504,1.0800920328990346e-10,
Diesel,flow,SE_Ethanol_Gasoline_Upgrade_transforms,diesel_SE,SE_Ethanol_Gasoline_Upgrade,SE_Ethanol_Gasoline_Upgrade_diesel_production_edge,EthanolUpgrade,flow,504,0.0,
Diesel,flow,SE_Ethanol_JetFuel_Upgrade_transforms,diesel_SE,SE_Ethanol_JetFuel_Upgrade,SE_Ethanol_JetFuel_Upgrade_diesel_production_edge,EthanolUpgrade,flow,504,0.0,
Diesel,flow,SE_Ethanol_Multiproduct_Upgrade_transforms,diesel_SE,SE_Ethanol_Multiproduct_Upgrade,SE_Ethanol_Multiproduct_Upgrade_diesel_production_edge,EthanolUpgrade,flow,504,12821206.613567248,
Diesel,flow,SE_Synthetic_FT_transforms,diesel_SE,SE_Synthetic_FT,SE_Synthetic_FT_diesel_edge,SyntheticLiquidFuels,flow,504,-4.2027077884816585e-12,
Diesel,flow,diesel_SE,SE_Diesel_Use_transforms,SE_Diesel_Use,SE_Diesel_Use_fuel_edge,FuelsEndUse{UserAdditions.Diesel},flow,504,178717591.3152,
