commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
Electricity,flow,SE_BECCS_Electricity_Herb_transforms,elec_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_elec_edge,BECCSElectricity,flow,504,4.516684998204074e-10,
Electricity,flow,SE_BECCS_Electricity_Wood_transforms,elec_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_elec_edge,BECCSElectricity,flow,504,-3.0266458365572834e-10,
Electricity,flow,SE_BECCS_FT_Herb_transforms,elec_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_elec_production_edge,BECCSLiquidFuels,flow,504,-8.910481810135227e-09,
Electricity,flow,SE_BECCS_FT_Wood_transforms,elec_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_elec_production_edge,BECCSLiquidFuels,flow,504,20310529.719137795,
Electricity,flow,SE_Bio_FT_Herb_transforms,elec_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,
Electricity,flow,SE_Bio_FT_Wood_transforms,elec_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,
Electricity,flow,SE_Biochemical_CCS_20_transforms,elec_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_elec_production_edge,BioEthanol,flow,504,3.054913122468861e-11,
Electricity,flow,SE_Biochemical_CCS_86_transforms,elec_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_elec_production_edge,BioEthanol,flow,504,7488460.262653953,
Electricity,flow,SE_Biochemical_Non_CCS_transforms,elec_SE,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_elec_production_edge,BioEthanol,flow,504,3.4969243618004367e-12,
Electricity,flow,SE_CCGT-H2_transforms,elec_SE,SE_CCGT-H2,SE_CCGT-H2_elec_edge,ThermalPower{Hydrogen},flow,504,9419158.143499343,
Electricity,flow,SE_DryMill_Existing_Non_CCS_transforms,elec_SE,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_elec_production_edge,BioEthanol,flow,504,0.0,
