commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Gasoline,flow,SE_BECCS_FT_Herb_transforms,gasoline_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,-1.49565564428601e-08,,SE,-1.49565564428601e-08
Gasoline,flow,SE_BECCS_FT_Wood_transforms,gasoline_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,34091936.95711746,,SE,34091936.95711746
Gasoline,flow,SE_Bio_FT_Herb_transforms,gasoline_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,8.566220820696305e-12,,SE,8.566220820696305e-12
Gasoline,flow,SE_Bio_FT_Wood_transforms,gasoline_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
Gasoline,flow,SE_Bio_Gasoline_Herb_transforms,gasoline_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,17640621.871532053,,SE,17640621.871532053
Gasoline,flow,SE_Bio_Gasoline_Wood_transforms,gasoline_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,31383688.081085805,,SE,31383688.081085805
Gasoline,flow,SE_Ethanol_Diesel_Upgrade_transforms,gasoline_SE,SE_Ethanol_Diesel_Upgrade,SE_Ethanol_Diesel_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,0.0,,SE,0.0
Gasoline,flow,SE_Ethanol_Gasoline_Upgrade_transforms,gasoline_SE,SE_Ethanol_Gasoline_Upgrade,SE_Ethanol_Gasoline_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,6.241682238216705e-11,,SE,6.241682238216705e-11
Gasoline,flow,SE_Ethanol_JetFuel_Upgrade_transforms,gasoline_SE,SE_Ethanol_JetFuel_Upgrade,SE_Ethanol_JetFuel_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,0.0,,SE,0.0
Gasoline,flow,SE_Ethanol_Multiproduct_Upgrade_transforms,gasoline_SE,SE_Ethanol_Multiproduct_Upgrade,SE_Ethanol_Multiproduct_Upgrade_gasoline_production_edge,EthanolUpgrade,flow,504,156703636.38804415,,SE,156703636.38804415
Gasoline,flow,SE_Gasoline_Fossil_Upstream_transforms,gasoline_SE,SE_Gasoline_Fossil_Upstream,SE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,141083006.62782055,,SE,141083006.62782055
Gasoline,flow,SE_Synthetic_FT_transforms,gasoline_SE,SE_Synthetic_FT,SE_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,-4.4499258936864614e-12,,SE,-4.4499258936864614e-12
Gasoline,flow,gasoline_SE,SE_Gasoline_Use_transforms,SE_Gasoline_Use,SE_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,380902889.9256,,SE,-380902889.9256
