commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
NaturalGas,flow,SE_BECCS_NaturalGas_Herb_transforms,natgas_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,8.890964902736422e-11,
NaturalGas,flow,SE_BECCS_NaturalGas_Wood_transforms,natgas_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,
NaturalGas,flow,SE_Bio_NaturalGas_Herb_transforms,natgas_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,0.0,
NaturalGas,flow,SE_Bio_NaturalGas_Wood_transforms,natgas_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,-5.810915144439238e-10,
NaturalGas,flow,SE_ESC_transforms,natgas_SE,SE_ESC,SE_ESC_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,SE_NG_Fossil_Upstream_transforms,natgas_SE,SE_NG_Fossil_Upstream,SE_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,7273375.167275058,
NaturalGas,flow,SE_Synthetic_NaturalGas_transforms,natgas_SE,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,873514959.3608578,
NaturalGas,flow,SE_TSC_CCS_90_H2prod_transforms,natgas_SE,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,SE_TSC_CCS_90_transforms,natgas_SE,SE_TSC_CCS_90,SE_TSC_CCS_90_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,SE_TSC_Non_CCS_H2fuel_transforms,natgas_SE,SE_TSC_Non_CCS_H2fuel,SE_TSC_Non_CCS_H2fuel_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,SE_TSC_Non_CCS_H2prod_transforms,natgas_SE,SE_TSC_Non_CCS_H2prod,SE_TSC_Non_CCS_H2prod_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,SE_TSC_Non_CCS_transforms,natgas_SE,SE_TSC_Non_CCS,SE_TSC_Non_CCS_natgas_production_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,Synthetic_Ethylene_CCS_90_transforms,natgas_SE,Synthetic_Ethylene_CCS_90,Synthetic_Ethylene_CCS_90_natgas_production_edge,SyntheticEthylene,flow,504,7597886.916098014,
NaturalGas,flow,Synthetic_Ethylene_Non_CCS_transforms,natgas_SE,Synthetic_Ethylene_Non_CCS,Synthetic_Ethylene_Non_CCS_natgas_production_edge,SyntheticEthylene,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_ATR_wCCS_94pct_transforms,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_fuel_edge,ThermalHydrogenCCS{NaturalGas},flow,504,677078524.9615217,
NaturalGas,flow,natgas_SE,SE_Biochemical_CCS_20_transforms,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_natgas_consumption_edge,BioEthanol,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Biochemical_CCS_86_transforms,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_natgas_consumption_edge,BioEthanol,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Biochemical_Non_CCS_transforms,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_natgas_consumption_edge,BioEthanol,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_DryMill_Existing_Non_CCS_transforms,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_natgas_consumption_edge,BioEthanol,flow,504,-7.260100350439609e-12,
NaturalGas,flow,natgas_SE,SE_ESC_transforms,SE_ESC,SE_ESC_natgas_consumption_edge,SteamCracker,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Ethanol_Dehydration_H2fuel_transforms,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_natgas_consumption_edge,EthanolDehydration,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Ethanol_Dehydration_NGfuel_transforms,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_natgas_consumption_edge,EthanolDehydration,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Large_SMR_Non_CCS_transforms,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_fuel_edge,ThermalHydrogen{NaturalGas},flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_Large_SMR_wCCS_96pct_transforms,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_fuel_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_NG_End_Use_transforms,SE_NG_End_Use,SE_NG_End_Use_fuel_edge,FuelsEndUse{NaturalGas},flow,504,207971997.1932,
NaturalGas,flow,natgas_SE,SE_Solvent_DAC_transforms,SE_Solvent_DAC,SE_Solvent_DAC_natgas_edge,NaturalGasDAC,flow,504,0.0,
NaturalGas,flow,natgas_SE,SE_TSC_CCS_90_H2prod_transforms,SE_TSC_CCS_90_H2prod,SE_TSC_CCS_90_H2prod_natgas_consumption_edge,SteamCracker,flow,504,0.0,
