,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,CO2Captured,flow,SE_ATR_wCCS_94pct_transforms,co2_captured_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_co2_captured_edge,ThermalHydrogenCCS{NaturalGas},flow,504,44141099.85888027,,SE,44141099.85888027
1,CO2Captured,flow,SE_BECCS_Electricity_Herb_transforms,co2_captured_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_co2_captured_edge,BECCSElectricity,flow,504,1.302450909007355e-10,,SE,1.302450909007355e-10
2,CO2Captured,flow,SE_BECCS_Electricity_Wood_transforms,co2_captured_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_co2_captured_edge,BECCSElectricity,flow,504,0.0,,SE,0.0
3,CO2Captured,flow,SE_BECCS_FT_Herb_transforms,co2_captured_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,58005173.14637115,,SE,58005173.14637115
4,CO2Captured,flow,SE_BECCS_FT_Wood_transforms,co2_captured_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,22090887.136785507,,SE,22090887.136785507
5,CO2Captured,flow,SE_BECCS_H2_Herb_transforms,co2_captured_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_co2_captured_edge,BECCSHydrogen,flow,504,9.94367074348494e-09,,SE,9.94367074348494e-09
6,CO2Captured,flow,SE_BECCS_H2_Wood_transforms,co2_captured_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_co2_captured_edge,BECCSHydrogen,flow,504,109969629.67667243,,SE,109969629.67667243
7,CO2Captured,flow,SE_BECCS_NaturalGas_Herb_transforms,co2_captured_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,1.5725998962331062e-11,,SE,1.5725998962331062e-11
8,CO2Captured,flow,SE_BECCS_NaturalGas_Wood_transforms,co2_captured_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
9,CO2Captured,flow,SE_Bio_FT_Herb_transforms,co2_captured_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
10,CO2Captured,flow,SE_Bio_FT_Wood_transforms,co2_captured_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
11,CO2Captured,flow,SE_Bio_Gasoline_Herb_transforms,co2_captured_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_co2_captured_edge,BECCSGasoline,flow,504,0.0,,SE,0.0
12,CO2Captured,flow,SE_Bio_Gasoline_Wood_transforms,co2_captured_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_co2_captured_edge,BECCSGasoline,flow,504,0.0,,SE,0.0
13,CO2Captured,flow,SE_Bio_NaturalGas_Herb_transforms,co2_captured_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
14,CO2Captured,flow,SE_Bio_NaturalGas_Wood_transforms,co2_captured_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
15,CO2Captured,flow,SE_Biochemical_CCS_20_transforms,co2_captured_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_co2_captured_edge,BioEthanol,flow,504,3.866061561727422e-12,,SE,3.866061561727422e-12
16,CO2Captured,flow,SE_Biochemical_CCS_86_transforms,co2_captured_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_co2_captured_edge,BioEthanol,flow,504,0.0,,SE,0.0
