,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,CO2,flow,SE_ATR_wCCS_94pct_transforms,co2_sink,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_co2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,all,0.0
1,CO2,flow,SE_BECCS_Electricity_Herb_transforms,co2_sink,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_co2_emission_edge,BECCSElectricity,flow,504,4.75332205036454e-12,,all,4.75332205036454e-12
2,CO2,flow,SE_BECCS_Electricity_Wood_transforms,co2_sink,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_co2_emission_edge,BECCSElectricity,flow,504,-1.9225292317865155e-12,,all,-1.9225292317865155e-12
3,CO2,flow,SE_BECCS_FT_Herb_transforms,co2_sink,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,12287706.576242398,,all,12287706.576242398
4,CO2,flow,SE_BECCS_FT_Wood_transforms,co2_sink,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,3105098.4986512023,,all,3105098.4986512023
5,CO2,flow,SE_BECCS_H2_Herb_transforms,co2_sink,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_co2_emission_edge,BECCSHydrogen,flow,504,2.4016728484519316e-10,,all,2.4016728484519316e-10
6,CO2,flow,SE_BECCS_H2_Wood_transforms,co2_sink,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_co2_emission_edge,BECCSHydrogen,flow,504,20489177.820356686,,all,20489177.820356686
7,CO2,flow,SE_BECCS_NaturalGas_Herb_transforms,co2_sink,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,2.5623353127825688e-11,,all,2.5623353127825688e-11
8,CO2,flow,SE_BECCS_NaturalGas_Wood_transforms,co2_sink,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,-8.172678028353416e-12,,all,-8.172678028353416e-12
9,CO2,flow,SE_Bio_FT_Herb_transforms,co2_sink,SE_Bio_FT_Herb,SE_Bio_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,-3.60658244108361e-11,,all,-3.60658244108361e-11
10,CO2,flow,SE_Bio_FT_Wood_transforms,co2_sink,SE_Bio_FT_Wood,SE_Bio_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,-3.791461326404685e-11,,all,-3.791461326404685e-11
11,CO2,flow,SE_Bio_Gasoline_Herb_transforms,co2_sink,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_co2_emission_edge,BECCSGasoline,flow,504,5044885.418496562,,all,5044885.418496562
12,CO2,flow,SE_Bio_Gasoline_Wood_transforms,co2_sink,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_co2_emission_edge,BECCSGasoline,flow,504,-1.849882221324731e-10,,all,-1.849882221324731e-10
13,CO2,flow,SE_Bio_NaturalGas_Herb_transforms,co2_sink,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,-6.474636713971234e-11,,all,-6.474636713971234e-11
14,CO2,flow,SE_Bio_NaturalGas_Wood_transforms,co2_sink,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,-2.2428686175300011e-10,,all,-2.2428686175300011e-10
15,CO2,flow,SE_Biochemical_CCS_20_transforms,co2_sink,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_co2_emission_edge,BioEthanol,flow,504,0.0,,all,0.0
16,CO2,flow,SE_Biochemical_CCS_86_transforms,co2_sink,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_co2_emission_edge,BioEthanol,flow,504,7.094210583644084e-12,,all,7.094210583644084e-12
