commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
CO2Captured,flow,SE_ATR_wCCS_94pct_transforms,co2_captured_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_co2_captured_edge,ThermalHydrogenCCS{NaturalGas},flow,504,40907282.513012975,,SE,40907282.513012975
CO2Captured,flow,SE_BECCS_Electricity_Herb_transforms,co2_captured_SE,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_co2_captured_edge,BECCSElectricity,flow,504,-4.446657684761119e-11,,SE,-4.446657684761119e-11
CO2Captured,flow,SE_BECCS_Electricity_Wood_transforms,co2_captured_SE,SE_BECCS_Electricity_Wood,SE_BECCS_Electricity_Wood_co2_captured_edge,BECCSElectricity,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_BECCS_FT_Herb_transforms,co2_captured_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,26404278.376848236,,SE,26404278.376848236
CO2Captured,flow,SE_BECCS_FT_Wood_transforms,co2_captured_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,53691781.90630842,,SE,53691781.90630842
CO2Captured,flow,SE_BECCS_H2_Herb_transforms,co2_captured_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_co2_captured_edge,BECCSHydrogen,flow,504,62457426.358385414,,SE,62457426.358385414
CO2Captured,flow,SE_BECCS_H2_Wood_transforms,co2_captured_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_co2_captured_edge,BECCSHydrogen,flow,504,-1.0191628931490586e-07,,SE,-1.0191628931490586e-07
CO2Captured,flow,SE_BECCS_NaturalGas_Herb_transforms,co2_captured_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_BECCS_NaturalGas_Wood_transforms,co2_captured_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_FT_Herb_transforms,co2_captured_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_FT_Wood_transforms,co2_captured_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_Gasoline_Herb_transforms,co2_captured_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_co2_captured_edge,BECCSGasoline,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_Gasoline_Wood_transforms,co2_captured_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_co2_captured_edge,BECCSGasoline,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_NaturalGas_Herb_transforms,co2_captured_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Bio_NaturalGas_Wood_transforms,co2_captured_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Biochemical_CCS_20_transforms,co2_captured_SE,SE_Biochemical_CCS_20,SE_Biochemical_CCS_20_co2_captured_edge,BioEthanol,flow,504,3.465574591645745e-12,,SE,3.465574591645745e-12
CO2Captured,flow,SE_Biochemical_CCS_86_transforms,co2_captured_SE,SE_Biochemical_CCS_86,SE_Biochemical_CCS_86_co2_captured_edge,BioEthanol,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Biochemical_Non_CCS_transforms,co2_captured_SE,SE_Biochemical_Non_CCS,SE_Biochemical_Non_CCS_co2_captured_edge,BioEthanol,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_DryMill_Existing_Non_CCS_transforms,co2_captured_SE,SE_DryMill_Existing_Non_CCS,SE_DryMill_Existing_Non_CCS_co2_captured_edge,BioEthanol,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Ethanol_Dehydration_H2fuel_transforms,co2_captured_SE,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_co2_captured_edge,EthanolDehydration,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Ethanol_Dehydration_NGfuel_transforms,co2_captured_SE,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_co2_captured_edge,EthanolDehydration,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Large_SMR_wCCS_96pct_transforms,co2_captured_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_co2_captured_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Solvent_DAC_transforms,co2_captured_SE,SE_Solvent_DAC,SE_Solvent_DAC_co2_captured_edge,NaturalGasDAC,flow,504,0.0,,SE,0.0
CO2Captured,flow,SE_Sorbent_DAC_transforms,co2_captured_SE,SE_Sorbent_DAC,SE_Sorbent_DAC_co2_captured_edge,ElectricDAC,flow,504,15087012.47554387,,SE,15087012.47554387
CO2Captured,flow,SE_naturalgas_ccccsavgcf_conservative_0_transforms,co2_captured_SE,SE_naturalgas_ccccsavgcf_conservative_0,SE_naturalgas_ccccsavgcf_conservative_0_co2_captured_edge,ThermalPowerCCS{NaturalGas},flow,504,0.0,,SE,0.0
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_10_transforms,SE_CO2_Injection_10,SE_CO2_Injection_10_co2_captured_edge,CO2Injection,flow,504,2289900.0000000005,,SE,-2289900.0000000005
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_11_transforms,SE_CO2_Injection_11,SE_CO2_Injection_11_co2_captured_edge,CO2Injection,flow,504,224800.0,,SE,-224800.0
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_1_transforms,SE_CO2_Injection_1,SE_CO2_Injection_1_co2_captured_edge,CO2Injection,flow,504,4753600.000000039,,SE,-4753600.000000039
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_2_transforms,SE_CO2_Injection_2,SE_CO2_Injection_2_co2_captured_edge,CO2Injection,flow,504,5145400.000000202,,SE,-5145400.000000202
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_3_transforms,SE_CO2_Injection_3,SE_CO2_Injection_3_co2_captured_edge,CO2Injection,flow,504,3040100.000000004,,SE,-3040100.000000004
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_4_transforms,SE_CO2_Injection_4,SE_CO2_Injection_4_co2_captured_edge,CO2Injection,flow,504,3525200.0000000014,,SE,-3525200.0000000014
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_5_transforms,SE_CO2_Injection_5,SE_CO2_Injection_5_co2_captured_edge,CO2Injection,flow,504,2154100.0000000023,,SE,-2154100.0000000023
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_6_transforms,SE_CO2_Injection_6,SE_CO2_Injection_6_co2_captured_edge,CO2Injection,flow,504,13171700.000000011,,SE,-13171700.000000011
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_7_transforms,SE_CO2_Injection_7,SE_CO2_Injection_7_co2_captured_edge,CO2Injection,flow,504,3572700.000000198,,SE,-3572700.000000198
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_8_transforms,SE_CO2_Injection_8,SE_CO2_Injection_8_co2_captured_edge,CO2Injection,flow,504,1774500.0000000012,,SE,-1774500.0000000012
CO2Captured,flow,co2_captured_SE,SE_CO2_Injection_9_transforms,SE_CO2_Injection_9,SE_CO2_Injection_9_co2_captured_edge,CO2Injection,flow,504,775500.0,,SE,-775500.0
CO2Captured,flow,co2_captured_SE,SE_Synthetic_FT_transforms,SE_Synthetic_FT,SE_Synthetic_FT_co2_captured_edge,SyntheticLiquidFuels,flow,504,-6.660209877953464e-10,,SE,6.660209877953464e-10
CO2Captured,flow,co2_captured_SE,SE_Synthetic_NaturalGas_transforms,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_co2_captured_edge,SyntheticNaturalGas,flow,504,158120281.63009834,,SE,-158120281.63009834
