,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Hydrogen,flow,SE_ATR_wCCS_94pct_transforms,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,482604604.20026743,,SE,482604604.20026743
1,Hydrogen,flow,SE_Above_ground_storage_transforms,h2_SE,SE_Above_ground_storage,SE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,261262378.98864102,,SE,261262378.98864102
2,Hydrogen,flow,SE_BECCS_H2_Herb_transforms,h2_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,127788192.50078933,,SE,127788192.50078933
3,Hydrogen,flow,SE_BECCS_H2_Wood_transforms,h2_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,-2.0852121448630253e-07,,SE,-2.0852121448630253e-07
4,Hydrogen,flow,SE_Electrolyzer_transforms,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,flow,504,668470520.3550173,,SE,668470520.3550173
5,Hydrogen,flow,SE_Large_SMR_Non_CCS_transforms,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,0.0,,SE,0.0
6,Hydrogen,flow,SE_Large_SMR_wCCS_96pct_transforms,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
7,Hydrogen,flow,h2_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,261262378.98864108,,SE,-261262378.98864108
8,Hydrogen,flow,h2_SE,SE_CCGT-H2_transforms,SE_CCGT-H2,SE_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,14509151.295939192,,SE,-14509151.295939192
9,Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_H2fuel_transforms,SE_Ethanol_Dehydration_H2fuel,SE_Ethanol_Dehydration_H2fuel_h2_consumption_edge,EthanolDehydration,flow,504,1396879.1595921721,,SE,-1396879.1595921721
10,Hydrogen,flow,h2_SE,SE_Ethanol_Dehydration_NGfuel_transforms,SE_Ethanol_Dehydration_NGfuel,SE_Ethanol_Dehydration_NGfuel_h2_consumption_edge,EthanolDehydration,flow,504,0.0,,SE,-0.0
11,Hydrogen,flow,h2_SE,SE_OCGT-H2_transforms,SE_OCGT-H2,SE_OCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,SE,-0.0
12,Hydrogen,flow,h2_SE,SE_Synthetic_FT_transforms,SE_Synthetic_FT,SE_Synthetic_FT_h2_edge,SyntheticLiquidFuels,flow,504,-2.4509042124900153e-09,,SE,2.4509042124900153e-09
13,Hydrogen,flow,h2_SE,SE_Synthetic_NaturalGas_transforms,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_h2_edge,SyntheticNaturalGas,flow,504,1133561136.6005425,,SE,-1133561136.6005425
