type,category,value
BECCSElectricity,Investment,3.4236345522222375e6
BECCSElectricity,FixedOM,950279.7093724562
BECCSElectricity,VariableOM,1.1981118092792274e6
BECCSElectricity,Fuel,1.8664579977726855e6
BECCSHydrogen{NaturalGas},Investment,1.0914611704210131e6
BECCSHydrogen{NaturalGas},FixedOM,903046.0963492433
BECCSHydrogen{NaturalGas},VariableOM,4.0489740091970945e6
BECCSHydrogen{NaturalGas},Fuel,1.872391004845236e6
BECCSLiquidFuels,Investment,6.222535628824322e10
BECCSLiquidFuels,FixedOM,4.7026031423331055e10
BECCSLiquidFuels,VariableOM,1.9987692821462914e10
BECCSLiquidFuels,Fuel,6.308796444954424e10
BECCSNaturalGas,Investment,7.020852108426273e6
BECCSNaturalGas,FixedOM,4.0423295629390576e6
BECCSNaturalGas,VariableOM,616300.0273835668
BECCSNaturalGas,Fuel,3.8897506620096387e6
CO2Injection,VariableOM,4.648416488717757e9
GasStorage{CO2Captured},Investment,3.4630239840998225e9
GasStorage{CO2Captured},FixedOM,4.5127049350963986e8
Battery,Investment,4.248547951415372e6
Battery,FixedOM,8.950707929595073e8
Battery,VariableOM,276655.9903813704
ElectricDAC,Investment,1.8493174129820908e6
ElectricDAC,FixedOM,1.4741701663485807e6
ElectricDAC,VariableOM,225488.71731039882
Electrolyzer,Investment,2.2260417923909298e10
Electrolyzer,FixedOM,5.69866543612103e8
VRE,FixedOM,3.020462972681076e10
ThermalPower{Hydrogen},Investment,5.737419327596698e10
ThermalPower{Hydrogen},FixedOM,2.3459601412135994e10
ThermalPower{Hydrogen},VariableOM,5.453380686150372e10
ThermalPower{Hydrogen},Startup,1.8353388540558799e6
GasStorage{Hydrogen},Investment,3.771080713341963e9
HydroRes,FixedOM,3.30714145296e9
ConstrainedFossilLiquidFuels,Fuel,1.2403075562205997e11
MustRun,FixedOM,1.4647794998400003e8
NaturalGasDAC,Investment,3.175081277693708e6
NaturalGasDAC,FixedOM,1.531060217350824e6
NaturalGasDAC,VariableOM,804720.0823490686
UpstreamEmissions{NaturalGas},Fuel,3.671590788511437e10
ThermalHydrogenCCS{NaturalGas},Investment,9.685524983438764e6
ThermalHydrogenCCS{NaturalGas},FixedOM,3.959731700854021e6
ThermalHydrogenCCS{NaturalGas},VariableOM,1.6537705228167982e6
ThermalHydrogenCCS{NaturalGas},Startup,10293.226229308773
ThermalPower{NaturalGas},FixedOM,4.2494405886908725e7
ThermalPower{NaturalGas},VariableOM,1.8972926641919315e6
ThermalPower{NaturalGas},Startup,8.71677881094918e6
ThermalPower{NaturalGas},Investment,3.547518112192668e6
ThermalPowerCCS{NaturalGas},Investment,2.6954087252407405e6
ThermalPowerCCS{NaturalGas},FixedOM,1.1945498665940287e6
ThermalPowerCCS{NaturalGas},VariableOM,304946.69865991635
ThermalPowerCCS{NaturalGas},Startup,706361.7329639957
VRE,Investment,7.351121178856786e10
ThermalPower{Uranium},FixedOM,3.0076889015195465e8
ThermalPower{Uranium},VariableOM,3.1004559323820405e7
ThermalPower{Uranium},Startup,1.8780327973312906e6
ThermalPower{Uranium},Fuel,1.075710167403114e8
ThermalPower{Uranium},Investment,3.6972668891165894e6
SyntheticLiquidFuels,Investment,3.74615595374579e6
SyntheticLiquidFuels,FixedOM,3.0048778123774244e6
SyntheticLiquidFuels,VariableOM,989827.9624304803
SyntheticNaturalGas,Investment,369143.1240252036
TransmissionLink{Electricity},Investment,4.194033655092233e9
GasStorage{Hydrogen},FixedOM,1.0892473156870064e8
Node{Electricity},NonServedDemand,505692.07681197533
Node{Hydrogen},NonServedDemand,502193.8843394147
Total,Investment,2.2684386754148227e11
Total,FixedOM,1.0652933786804279e11
Total,VariableOM,7.92129368194922e10
Total,Fuel,2.2394982757312354e11
Total,Startup,1.3146805421529654e7
Total,NonServedDemand,1.0078859611513901e6
Total,Total,6.365501244935234e11
