zone,category,value
CA,Investment,7.149315801648828e9
CA,FixedOM,3.467038727180956e9
CA,VariableOM,4.920444750718852e9
CA,Fuel,3.91575492255947e9
NW,Investment,8.699511850453964e9
NW,FixedOM,5.380788408241076e9
NW,VariableOM,1.8221189731677586e8
NW,Fuel,3.586467708516996e9
SW,Investment,6.770185925730166e9
SW,FixedOM,3.432121025640291e9
SW,VariableOM,3.42685503203192e9
SW,Fuel,4.194510468875914e9
TX,Investment,2.5439885304934628e10
TX,FixedOM,1.091378115186165e10
TX,VariableOM,1.3546563024467194e10
TX,Fuel,1.3429140349201773e10
NCEN,Investment,3.443924328500056e10
NCEN,FixedOM,1.739158050002135e10
NCEN,VariableOM,7.393212619591504e9
NCEN,Fuel,2.2627992603471367e10
CEN,Investment,5.243989214127449e10
CEN,FixedOM,3.0860648406639263e10
CEN,VariableOM,5.199647077366613e9
CEN,Fuel,2.4073179032205296e10
SE,Investment,3.6917119279406685e10
SE,FixedOM,1.675532805628886e10
SE,VariableOM,8.626248988131239e9
SE,Fuel,1.3400875507522049e10
MIDAT,Investment,2.5987767376831512e10
MIDAT,FixedOM,9.70022464235286e9
MIDAT,VariableOM,1.8304310165029472e10
MIDAT,Fuel,8.901941894381598e9
NE,Investment,2.480691292110921e10
NE,FixedOM,8.627826949816528e9
NE,VariableOM,1.761230507021247e10
NE,Fuel,5.789209464329106e9
co2_sink_CA_Bio_H2_Herb_transforms,VariableOM,1171.5772332927024
CA_Bio_H2_Herb_transforms_co2_sink,VariableOM,1188.2159445385553
co2_sink_NW_Bio_H2_Herb_transforms,VariableOM,7912.083283400455
NW_Bio_H2_Herb_transforms_co2_sink,VariableOM,8024.124983536162
co2_sink_SW_Bio_H2_Herb_transforms,VariableOM,10623.90667728629
SW_Bio_H2_Herb_transforms_co2_sink,VariableOM,10775.757716455802
co2_sink_TX_Bio_H2_Herb_transforms,VariableOM,13004.846967465568
TX_Bio_H2_Herb_transforms_co2_sink,VariableOM,13190.295781393448
co2_sink_NCEN_Bio_H2_Herb_transforms,VariableOM,13231.31886495241
NCEN_Bio_H2_Herb_transforms_co2_sink,VariableOM,13417.177831959389
co2_sink_CEN_Bio_H2_Herb_transforms,VariableOM,12870.089464608418
CEN_Bio_H2_Herb_transforms_co2_sink,VariableOM,13052.657995134492
co2_sink_SE_Bio_H2_Herb_transforms,VariableOM,14358.036325343759
SE_Bio_H2_Herb_transforms_co2_sink,VariableOM,14562.423850109542
co2_sink_MIDAT_Bio_H2_Herb_transforms,VariableOM,12809.907627286408
MIDAT_Bio_H2_Herb_transforms_co2_sink,VariableOM,12990.261681263357
co2_sink_NE_Bio_H2_Herb_transforms,VariableOM,12655.416703751573
NE_Bio_H2_Herb_transforms_co2_sink,VariableOM,12832.676664985986
co2_sink_CA_Bio_H2_Wood_transforms,VariableOM,10474.287746248227
CA_Bio_H2_Wood_transforms_co2_sink,VariableOM,10613.196238338045
co2_sink_NW_Bio_H2_Wood_transforms,VariableOM,7522.0867722439525
NW_Bio_H2_Wood_transforms_co2_sink,VariableOM,7623.215394754498
co2_sink_SW_Bio_H2_Wood_transforms,VariableOM,9688.747334383519
SW_Bio_H2_Wood_transforms_co2_sink,VariableOM,9820.453945298541
co2_sink_TX_Bio_H2_Wood_transforms,VariableOM,9706.718759221403
TX_Bio_H2_Wood_transforms_co2_sink,VariableOM,9837.003073774793
co2_sink_NCEN_Bio_H2_Wood_transforms,VariableOM,11828.754852308632
NCEN_Bio_H2_Wood_transforms_co2_sink,VariableOM,11989.195304074401
co2_sink_CEN_Bio_H2_Wood_transforms,VariableOM,10634.190268160795
CEN_Bio_H2_Wood_transforms_co2_sink,VariableOM,10778.428128534902
co2_sink_SE_Bio_H2_Wood_transforms,VariableOM,13386.782775418953
SE_Bio_H2_Wood_transforms_co2_sink,VariableOM,13566.461187994124
co2_sink_MIDAT_Bio_H2_Wood_transforms,VariableOM,13186.313711484387
MIDAT_Bio_H2_Wood_transforms_co2_sink,VariableOM,13364.771410617885
co2_sink_NE_Bio_H2_Wood_transforms,VariableOM,12181.078419500202
NE_Bio_H2_Wood_transforms_co2_sink,VariableOM,12344.126089689911
co2_sink_CA_Bio_H2_Agri_transforms,VariableOM,9935.772465990662
CA_Bio_H2_Agri_transforms_co2_sink,VariableOM,10077.044237876109
co2_sink_NW_Bio_H2_Agri_transforms,VariableOM,8517.797751522628
NW_Bio_H2_Agri_transforms_co2_sink,VariableOM,8642.911095964839
co2_sink_SW_Bio_H2_Agri_transforms,VariableOM,10226.862043471156
SW_Bio_H2_Agri_transforms_co2_sink,VariableOM,10375.03090587505
co2_sink_TX_Bio_H2_Agri_transforms,VariableOM,11249.649074591665
TX_Bio_H2_Agri_transforms_co2_sink,VariableOM,11418.025940685066
co2_sink_NCEN_Bio_H2_Agri_transforms,VariableOM,14569.092932003894
NCEN_Bio_H2_Agri_transforms_co2_sink,VariableOM,14777.333833273471
co2_sink_CEN_Bio_H2_Agri_transforms,VariableOM,12022.048463282259
CEN_Bio_H2_Agri_transforms_co2_sink,VariableOM,12194.894403985463
co2_sink_SE_Bio_H2_Agri_transforms,VariableOM,12360.346967491716
SE_Bio_H2_Agri_transforms_co2_sink,VariableOM,12539.21414090864
co2_sink_MIDAT_Bio_H2_Agri_transforms,VariableOM,12880.028883245415
MIDAT_Bio_H2_Agri_transforms_co2_sink,VariableOM,13064.343001155587
co2_sink_NE_Bio_H2_Agri_transforms,VariableOM,13068.101590223998
NE_Bio_H2_Agri_transforms_co2_sink,VariableOM,13254.343754222386
co2_sink_CA_Bio_H2_CCS_99_Herb_transforms,VariableOM,2866.498563979641
CA_Bio_H2_CCS_99_Herb_transforms_co2_sink,VariableOM,69.37492821751495
