Time_Index,Electricity_MW_CA,Electricity_MW_NW,Electricity_MW_SW,Electricity_MW_TX,Electricity_MW_NCEN,Electricity_MW_CEN,Electricity_MW_SE,Electricity_MW_MIDAT,Electricity_MW_NE,Hydrogen_MW_CA,Hydrogen_MW_NW,Hydrogen_MW_SW,Hydrogen_MW_TX,Hydrogen_MW_NCEN,Hydrogen_MW_CEN,Hydrogen_MW_SE,Hydrogen_MW_MIDAT,Hydrogen_MW_NE,NaturalGas_MW_CA,NaturalGas_MW_NW,NaturalGas_MW_SW,NaturalGas_MW_TX,NaturalGas_MW_NCEN,NaturalGas_MW_CEN,NaturalGas_MW_SE,NaturalGas_MW_MIDAT,NaturalGas_MW_NE,Diesel_MW_Global,Gasoline_MW_Global,JetFuel_MW_Global,Demand_Zero
1,44346,27556,34100,61157,91877,57682,129393,100406,52403,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
2,39822,25556,31641,60548,87694,56486,127867,98075,50962,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
3,35259,23256,29777,60459,84895,55741,128959,98068,50812,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
4,33072,22830,29035,61449,83978,56215,130365,97939,50664,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
5,32695,22615,29056,62564,84463,56534,134161,103470,54078,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
6,33340,22812,29152,65374,89579,58953,149024,113561,59924,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
7,34088,23251,30098,91834,98075,73040,159077,123647,67181,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
8,37007,24716,33663,86762,106183,72842,165694,133648,73413,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
9,45326,28037,34567,74737,113840,69308,168348,136398,74891,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
10,46569,27406,36615,70902,118054,69122,172496,137437,75366,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
11,49028,28994,37909,71065,119650,70058,167708,132712,73383,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
12,50429,29757,39238,66340,119774,66572,165655,134000,74720,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
13,52317,30786,38106,64945,121544,66444,162928,132280,73934,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
14,52774,29411,38501,62775,120108,64738,156175,126927,70969,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
15,54766,29468,38521,59571,117411,61955,153039,126443,70876,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
16,54585,28755,37333,58820,118728,61449,156410,132697,74627,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
17,53048,27776,36964,60226,123965,63322,165512,141832,79935,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
18,53611,28227,38362,62851,127059,66964,167241,135510,76145,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
19,56404,29392,40733,62184,125191,65603,166890,134330,75491,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
20,58489,30655,41160,61351,122136,65241,160626,128150,71734,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94,13670.88294,10416.03641,11077.20459,16353.3618,43193.97626,18059.03502,23741.09557,29288.63653,20854.93236,98413.82794,185039.4611,86503.12943,0
