2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/JunWen_4_25/NineZones_High_Biomass_High_CO2_26_GLOBALLF_26_Week
2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | user_additions.jl:78 |  ++ Loading user additions from MacroEnergyExamples/JunWen_4_25/NineZones_High_Biomass_High_CO2_26_GLOBALLF_26_Week/user_additions
2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | user_additions.jl:114 |  ++ Successfully loaded user additions.
2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | user_additions.jl:122 |  ++ Added user assets: 0
2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | load_stages_data.jl:37 | Loading case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/JunWen_4_25/NineZones_High_Biomass_High_CO2_26_GLOBALLF_26_Week/system_data.json
2026-04-25 13:21:43 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-04-25 13:21:44 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 0.55 seconds
2026-04-25 13:21:44 | INFO | 1 | MacroEnergy | load_stages_data.jl:20 | Done loading case data. It took 0.55 seconds
2026-04-25 13:21:44 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | case_settings.jl:111 | Configuring case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/JunWen_4_25/NineZones_High_Biomass_High_CO2_26_GLOBALLF_26_Week/settings/case_settings.json
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | case_settings.jl:129 | Configuring case
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | case_settings.jl:154 |  -- Setting solution algorithm
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | case_settings.jl:165 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-04-25 13:21:45 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
2026-04-25 13:21:46 | INFO | 1 | MacroEnergy | load_commodities.jl:299 |  ++ Added user commodities: 0 top-level, 0 subcommodities
