Electricity_Demand_SE,Demand_Zero
85107,0
81088,0
80049,0
80013,0
82646,0
92216,0
97457,0
107367,0
115952,0
122596,0
125155,0
128580,0
129802,0
126979,0
126331,0
131200,0
136648,0
139817,0
138121,0
129216,0
118674,0
108031,0
98462,0
92429,0
88864,0
85577,0
85212,0
85742,0
88309,0
96817,0
106360,0
118027,0
127399,0
133297,0
135775,0
138488,0
139664,0
136588,0
135699,0
140723,0
147384,0
151441,0
149355,0
140908,0
131423,0
122009,0
113359,0
116294,0
117812,0
119240,0
122751,0
127962,0
138397,0
172286,0
195489,0
197183,0
185925,0
184543,0
182796,0
180547,0
177007,0
174862,0
178471,0
188557,0
205107,0
199270,0
177293,0
164530,0
152335,0
141173,0
132471,0
124531,0
122710,0
123259,0
125386,0
129214,0
139026,0
173073,0
192873,0
191784,0
178617,0
176244,0
174318,0
171859,0
168444,0
166798,0
170860,0
181471,0
197917,0
192472,0
170728,0
157124,0
145339,0
134779,0
125795,0
122847,0
122364,0
123158,0
125591,0
129947,0
140351,0
174180,0
193369,0
193307,0
181524,0
179496,0
177594,0
176032,0
173022,0
171511,0
175805,0
186378,0
202788,0
196126,0
173687,0
159671,0
147125,0
135650,0
126125,0
119504,0
118093,0
118436,0
120245,0
124075,0
134048,0
167305,0
186342,0
186519,0
174333,0
172911,0
171562,0
169462,0
166097,0
164790,0
169040,0
179641,0
195598,0
190244,0
168098,0
154497,0
143074,0
132372,0
123373,0
117735,0
116494,0
117292,0
119954,0
124584,0
135198,0
168683,0
187359,0
188640,0
176815,0
175518,0
173802,0
171709,0
167985,0
166320,0
170699,0
181125,0
196834,0
190857,0
169102,0
155547,0
144161,0
134226,0
126203,0
116273,0
110182,0
107948,0
108547,0
109864,0
113747,0
126600,0
132423,0
141350,0
148906,0
155210,0
155264,0
157208,0
156732,0
152165,0
151848,0
157957,0
166622,0
169212,0
168331,0
160652,0
153163,0
145372,0
139419,0
137805,0
136654,0
135812,0
137109,0
139110,0
143144,0
157612,0
165941,0
174055,0
178976,0
183077,0
178226,0
176983,0
175017,0
168993,0
167153,0
172124,0
181742,0
181976,0
179194,0
171580,0
163244,0
156173,0
149903,0
148727,0
149519,0
149643,0
151424,0
155522,0
165431,0
210982,0
233723,0
227519,0
209635,0
207551,0
203229,0
199119,0
194507,0
191191,0
193662,0
202984,0
220337,0
213997,0
191967,0
178636,0
165916,0
154996,0
146907,0
138733,0
136218,0
136503,0
138480,0
142436,0
152266,0
200705,0
221532,0
214248,0
199447,0
199180,0
196623,0
194052,0
190205,0
188261,0
192076,0
202403,0
219414,0
212859,0
191819,0
179640,0
167134,0
156469,0
148909,0
146722,0
147679,0
148839,0
151496,0
156835,0
168929,0
218625,0
239189,0
232077,0
216658,0
214770,0
209525,0
205427,0
200275,0
196858,0
200567,0
211742,0
230996,0
225241,0
204263,0
192287,0
179786,0
168936,0
161779,0
160498,0
162104,0
164621,0
168364,0
174654,0
187236,0
239628,0
261753,0
248656,0
226950,0
222702,0
214197,0
207422,0
200374,0
195749,0
198310,0
208656,0
228251,0
223030,0
203072,0
191790,0
179867,0
169828,0
163450,0
161953,0
164345,0
167179,0
171161,0
177413,0
189990,0
246845,0
267582,0
246964,0
220064,0
213618,0
203632,0
195909,0
188314,0
183064,0
184513,0
193482,0
211926,0
207198,0
187194,0
175838,0
164538,0
154826,0
148211,0
141103,0
136400,0
135967,0
137802,0
140160,0
145188,0
171555,0
177316,0
171654,0
167487,0
168231,0
160120,0
156336,0
152202,0
144475,0
141197,0
144652,0
153313,0
155312,0
154774,0
148186,0
140642,0
133041,0
127256,0
122043,0
118454,0
116800,0
117668,0
119175,0
122550,0
140033,0
144485,0
147088,0
149829,0
152673,0
148295,0
147109,0
145309,0
139270,0
136983,0
140867,0
148322,0
151167,0
150005,0
142455,0
134083,0
126335,0
120000,0
120812,0
122769,0
123907,0
126527,0
130928,0
139930,0
166774,0
183681,0
186456,0
176997,0
176351,0
174471,0
172205,0
168273,0
166027,0
169591,0
179281,0
195150,0
188559,0
165776,0
151130,0
142191,0
132521,0
123797,0
118547,0
116736,0
117178,0
119028,0
123048,0
133019,0
166516,0
183445,0
183599,0
171888,0
170431,0
169424,0
167774,0
164431,0
163018,0
167169,0
177660,0
193180,0
187501,0
164969,0
150851,0
139009,0
128023,0
118256,0
110700,0
108853,0
108617,0
110208,0
113776,0
123050,0
151416,0
171882,0
175776,0
166312,0
166041,0
167332,0
166693,0
164893,0
164832,0
169799,0
180623,0
195234,0
190267,0
167398,0
153073,0
141502,0
130035,0
120329,0
114153,0
111786,0
112200,0
114509,0
118700,0
128739,0
158514,0
179614,0
183961,0
174742,0
174425,0
175093,0
174765,0
172823,0
172314,0
177577,0
188773,0
204425,0
199061,0
176939,0
163149,0
151300,0
140147,0
130997,0
