Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,H2_Load_tonneperhr_z1,H2_Load_tonneperhr_z2,H2_Load_tonneperhr_z3,Diesel_Load_mmbtu_z1,Diesel_Load_mmbtu_z2,Diesel_Load_mmbtu_z3,Gasoline_Load_mmbtu_z1,Gasoline_Load_mmbtu_z2,Gasoline_Load_mmbtu_z3,JetFuel_Load_mmbtu_z1,JetFuel_Load_mmbtu_z2,JetFuel_Load_mmbtu_z3,NG_Load_mmbtu_z1,NG_Load_mmbtu_z2,NG_Load_mmbtu_z3,Demand_Zero
1,806154.0484,473038.6862,179488.025,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
2,754796.8441,451992.4479,170430.7046,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
3,719983.8566,441022.0508,165297.6156,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
4,699168.4954,441541.8603,164240.6245,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
5,698208.494,458937.3439,167915.7947,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
6,717580.9787,486620.2191,179074.948,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
7,752480.1938,528380.2596,199461.5121,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
8,792121.9311,562917.3664,218900.4291,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
9,841334.9406,589234.2307,231049.7522,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
10,889967.3504,612178.378,239511.7558,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
11,939335.5697,628207.8507,246521.9152,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
12,982328.6894,641378.3715,250269.9814,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
13,1.02E+06,654923.6387,253033.9524,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
14,1.05E+06,665035.7457,254582.9911,522.3,266.33,77.14,4303.652968,4781.836631,5260.020294,15693.6,8816.3,3150.1,18194.95,11895.91,7058.56,59244.77,32395.61,33613.87,51899,38971,19417,0
