Time_Index,Electricity_Demand_MW_SE,Electricity_Demand_MW_MIDAT,Electricity_Demand_MW_NE,Hydrogen_Demand_MW_SE,Hydrogen_Demand_MW_MIDAT,Hydrogen_Demand_MW_NE,Diesel_Demand_MW_SE,Diesel_Demand_MW_MIDAT,Diesel_Demand_MW_NE,Gasoline_Demand_MW_SE,Gasoline_Demand_MW_MIDAT,Gasoline_Demand_MW_NE,JetFuel_Demand_MW_SE,JetFuel_Demand_MW_MIDAT,JetFuel_Demand_MW_NE,NaturalGas_Demand_MW_SE,NaturalGas_Demand_MW_MIDAT,NaturalGas_Demand_MW_NE,Demand_Zero,Ethylene_Demand_SE,Ethylene_Demand_MIDAT,Ethylene_Demand_NE
1,806154.0484,473038.6862,179488.025,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
2,754796.8441,451992.4479,170430.7046,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
3,719983.8566,441022.0508,165297.6156,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
4,699168.4954,441541.8603,164240.6245,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
5,698208.494,458937.3439,167915.7947,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
6,717580.9787,486620.2191,179074.948,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
7,752480.1938,528380.2596,199461.5121,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
8,792121.9311,562917.3664,218900.4291,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
9,841334.9406,589234.2307,231049.7522,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
10,889967.3504,612178.378,239511.7558,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
11,939335.5697,628207.8507,246521.9152,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
12,982328.6894,641378.3715,250269.9814,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
13,1.02E+06,654923.6387,253033.9524,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
14,1.05E+06,665035.7457,254582.9911,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
15,1.07E+06,676936.9643,254078.7942,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
16,1.09E+06,688324.4178,253179.7443,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
17,1.10E+06,694272.005,252487.2329,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
18,1.09E+06,686233.0914,248733.092,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
19,1.06E+06,667284.2238,242621.9825,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
20,1.03E+06,649411.2408,239754.7422,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
21,994216.6118,643681.2483,238971.1109,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
22,951367.2048,605420.8552,228783.9035,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
23,876268.6468,551820.0391,208616.0271,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
24,792495.5844,501966.6864,189250.0061,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
25,724048.0545,470107.2027,176049.7665,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
26,676956.2459,452264.4412,166962.0728,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
27,646264.9414,441590.2146,162624.7645,17501.85,8924.5,2584.9,4599.34,2583.8,923.2,5332.41,3486.35,2068.66,17362.93,9494.22,9851.25,15210.1,11421.27,5690.56,0,4303.652968,4781.836631,5260.020294
