Time_Index,None,natgas_fossil_MIDAT,natgas_fossil_NE,natgas_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,gasoline_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE,diesel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,jetfuel_fossil_SE
1,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
2,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
3,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
4,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
5,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
6,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
7,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
8,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
9,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
10,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
11,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
12,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
13,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
14,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
15,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
16,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
17,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
18,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
19,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
20,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
21,0,12.21546705,15.01342319,12.55668122,90.69472466,87.28258303,83.87044139,86.70251895,83.29037731,90.11466058,69.30059661,76.12487988,72.71273824
