Time_Index,None,natgas_fossil_MIDAT,natgas_fossil_NE,natgas_fossil_SE,gasoline_fossil_MIDAT,gasoline_fossil_NE,gasoline_fossil_SE,diesel_fossil_MIDAT,diesel_fossil_NE,diesel_fossil_SE,jetfuel_fossil_MIDAT,jetfuel_fossil_NE,jetfuel_fossil_SE
1,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
2,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
3,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
4,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
5,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
6,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
7,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
8,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
9,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
10,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
11,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
12,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
13,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
14,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
15,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
16,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
17,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
18,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
19,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
20,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
21,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
22,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
23,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
24,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
25,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
26,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
27,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
28,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
29,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
30,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
31,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
32,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
33,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
34,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
35,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
36,0,12.21546705,15.01342319,12.55668122,0,0,0,0,0,0,0,0,0
