commodity,commodity_subtype,zone,resource_id,component_id,type,variable,value
Electricity,capacity,elec_SE,SE_battery_moderate_0,SE_battery_moderate_0_discharge_edge,Battery,capacity,902113.7915967981
Electricity,capacity,elec_MIDAT,MIDAT_battery_moderate_0,MIDAT_battery_moderate_0_discharge_edge,Battery,capacity,752095.3246261236
Electricity,capacity,elec_NE,NE_battery_moderate_0,NE_battery_moderate_0_discharge_edge,Battery,capacity,315222.5059387692
Electricity,capacity,elec_MIDAT,MIDAT_hydroelectric_pumped_storage_1,MIDAT_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,5244.0
Electricity,capacity,elec_NE,NE_hydroelectric_pumped_storage_1,NE_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,3206.9
Electricity,capacity,elec_SE,SE_hydroelectric_pumped_storage_1,SE_hydroelectric_pumped_storage_1_discharge_edge,Battery,capacity,6261.984
Electricity,capacity,elec_MIDAT,MIDAT_onshore_wind_turbine_1,MIDAT_onshore_wind_turbine_1_edge,VRE,capacity,3231.6
Electricity,capacity,elec_MIDAT,MIDAT_solar_photovoltaic_1,MIDAT_solar_photovoltaic_1_edge,VRE,capacity,2974.6
Electricity,capacity,elec_NE,NE_onshore_wind_turbine_1,NE_onshore_wind_turbine_1_edge,VRE,capacity,3654.5
Electricity,capacity,elec_NE,NE_solar_photovoltaic_1,NE_solar_photovoltaic_1_edge,VRE,capacity,1629.6
Electricity,capacity,elec_SE,SE_solar_photovoltaic_1,SE_solar_photovoltaic_1_edge,VRE,capacity,8502.2
Electricity,capacity,elec_MIDAT,MIDAT_conventional_hydroelectric_1,MIDAT_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,2806.182
Electricity,capacity,hydro_source,MIDAT_conventional_hydroelectric_1,MIDAT_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,2806.182
Electricity,capacity,elec_NE,NE_conventional_hydroelectric_1,NE_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,4729.48
Electricity,capacity,hydro_source,NE_conventional_hydroelectric_1,NE_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,4729.48
Electricity,capacity,elec_SE,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_discharge_edge,HydroRes,capacity,11123.215
Electricity,capacity,hydro_source,SE_conventional_hydroelectric_1,SE_conventional_hydroelectric_1_inflow_edge,HydroRes,capacity,11123.215
Electricity,capacity,elec_MIDAT,MIDAT_small_hydroelectric_1,MIDAT_small_hydroelectric_1_elec_edge,MustRun,capacity,263.268
Electricity,capacity,elec_NE,NE_small_hydroelectric_1,NE_small_hydroelectric_1_elec_edge,MustRun,capacity,834.494
Electricity,capacity,elec_SE,SE_small_hydroelectric_1,SE_small_hydroelectric_1_elec_edge,MustRun,capacity,249.895
Electricity,capacity,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_1_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_2_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_3_elec_edge,ThermalPower{NaturalGas},capacity,0.0
Electricity,capacity,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combined_cycle_4_elec_edge,ThermalPower{NaturalGas},capacity,0.0
