Period_Index,Rep_Period,Rep_Period_Index
1,221,2
2,221,2
3,221,2
4,221,2
5,221,2
6,221,2
7,151,1
8,221,2
9,221,2
10,221,2
11,221,2
12,221,2
13,221,2
14,221,2
15,221,2
16,221,2
17,221,2
18,221,2
19,221,2
20,221,2
21,221,2
22,289,3
23,289,3
24,289,3
25,289,3
26,289,3
27,289,3
28,289,3
29,289,3
30,289,3
31,289,3
32,289,3
33,289,3
34,289,3
35,289,3
36,289,3
37,289,3
38,289,3
39,289,3
40,289,3
41,289,3
42,151,1
43,151,1
44,151,1
45,151,1
46,151,1
47,151,1
48,151,1
49,151,1
50,151,1
51,151,1
52,151,1
53,221,2
54,221,2
55,221,2
56,221,2
57,221,2
58,151,1
59,151,1
60,221,2
61,221,2
62,221,2
63,221,2
64,221,2
65,221,2
66,221,2
67,221,2
68,221,2
69,221,2
70,221,2
71,221,2
72,221,2
73,221,2
74,221,2
75,289,3
76,289,3
77,289,3
78,289,3
79,289,3
80,289,3
81,289,3
82,289,3
83,289,3
84,289,3
85,289,3
86,289,3
87,289,3
88,289,3
89,289,3
90,289,3
91,151,1
92,289,3
93,289,3
94,151,1
95,151,1
96,151,1
97,151,1
98,151,1
99,151,1
100,151,1
101,151,1
102,151,1
103,151,1
104,151,1
105,221,2
106,221,2
107,221,2
108,221,2
109,221,2
110,221,2
111,151,1
112,151,1
113,221,2
114,221,2
115,221,2
116,221,2
117,221,2
118,221,2
119,221,2
120,221,2
121,221,2
122,221,2
123,221,2
124,221,2
125,221,2
126,221,2
127,289,3
128,289,3
129,151,1
130,289,3
131,289,3
132,289,3
133,289,3
134,289,3
135,289,3
136,289,3
137,289,3
138,289,3
139,289,3
140,289,3
141,151,1
142,289,3
143,151,1
144,151,1
145,151,1
146,151,1
147,151,1
148,151,1
149,151,1
150,151,1
151,151,1
152,151,1
153,151,1
154,151,1
155,151,1
156,151,1
157,221,2
158,221,2
159,221,2
160,221,2
161,221,2
162,151,1
163,151,1
164,151,1
165,151,1
166,221,2
167,221,2
168,221,2
169,221,2
170,221,2
171,221,2
172,221,2
173,221,2
174,221,2
175,221,2
176,221,2
177,221,2
178,289,3
179,221,2
180,289,3
181,289,3
182,289,3
183,289,3
184,289,3
185,289,3
186,289,3
187,289,3
188,289,3
189,289,3
190,289,3
191,289,3
192,289,3
193,289,3
194,289,3
195,289,3
196,151,1
197,151,1
198,151,1
199,151,1
200,151,1
201,151,1
202,151,1
203,151,1
204,151,1
205,151,1
206,151,1
207,151,1
208,151,1
209,221,2
210,221,2
211,221,2
212,221,2
213,221,2
214,151,1
215,221,2
216,221,2
217,221,2
218,221,2
219,221,2
220,221,2
221,221,2
222,221,2
223,221,2
224,221,2
225,221,2
226,221,2
227,221,2
228,221,2
229,221,2
230,221,2
231,289,3
232,289,3
233,289,3
234,289,3
235,289,3
236,289,3
237,289,3
238,289,3
239,289,3
240,289,3
241,289,3
242,289,3
243,289,3
244,289,3
245,289,3
246,289,3
247,289,3
248,151,1
249,289,3
250,151,1
251,151,1
252,151,1
253,151,1
254,151,1
255,151,1
256,151,1
257,151,1
258,151,1
259,151,1
260,151,1
261,221,2
262,221,2
263,221,2
264,221,2
265,221,2
266,221,2
267,151,1
268,221,2
269,221,2
270,221,2
271,221,2
272,221,2
273,221,2
274,221,2
275,221,2
276,221,2
277,221,2
278,221,2
279,221,2
280,221,2
281,221,2
282,221,2
283,221,2
284,289,3
285,289,3
286,289,3
287,289,3
288,289,3
289,289,3
290,289,3
291,289,3
292,289,3
293,289,3
294,289,3
295,289,3
296,289,3
297,289,3
298,289,3
299,289,3
300,289,3
301,289,3
302,151,1
303,151,1
304,151,1
305,151,1
306,151,1
307,151,1
308,151,1
309,151,1
310,151,1
311,151,1
312,151,1
313,151,1
314,221,2
315,221,2
316,221,2
317,221,2
318,221,2
319,151,1
320,221,2
321,221,2
322,221,2
323,221,2
324,221,2
325,221,2
326,221,2
327,221,2
328,221,2
329,221,2
330,221,2
331,221,2
332,221,2
333,221,2
334,221,2
335,221,2
336,289,3
337,221,2
338,289,3
339,289,3
340,289,3
341,289,3
342,289,3
343,289,3
344,289,3
345,289,3
346,289,3
347,289,3
348,289,3
349,289,3
350,289,3
351,289,3
352,289,3
353,289,3
354,151,1
355,151,1
356,151,1
357,151,1
358,151,1
359,151,1
360,151,1
361,151,1
362,151,1
363,151,1
364,151,1
365,221,2
