Time_Index,Demand_Electricity_MIDAT,Demand_Zero
1,857242.4599,0
2,832715.222,0
3,820923.6965,0
4,820015.5472,0
5,828239.3434,0
6,852038.6204,0
7,894844.1642,0
8,937318.1615,0
9,976570.3912,0
10,987778.1064,0
11,973968.4714,0
12,951351.23,0
13,928373.6119,0
14,909309.6848,0
15,891471.0384,0
16,881070.5669,0
17,882605.7717,0
18,919299.3268,0
19,962040.0028,0
20,970263.799,0
21,956792.9181,0
22,933880.1678,0
23,899089.4017,0
24,856118.0846,0
25,815539.6687,0
26,789866.4329,0
27,774154.009,0
28,769555.6024,0
29,772308.8803,0
30,789008.7364,0
31,817038.8357,0
32,859498.418,0
33,911089.9456,0
34,936193.7862,0
35,930874.6262,0
36,908790.7423,0
37,892083.6787,0
38,878800.1938,0
39,865444.6334,0
40,859491.2104,0
41,862460.7144,0
42,904833.8062,0
43,956778.5031,0
44,965773.5054,0
45,948742.1028,0
46,915428.8811,0
47,871261.1133,0
48,821197.5828,0
49,778442.4917,0
50,752855.7463,0
51,743111.1605,0
52,744069.7625,0
53,761137.2028,0
54,810321.4141,0
55,904884.259,0
56,967950.1806,0
57,987489.805,0
58,983071.5867,0
59,973132.3975,0
60,959243.4797,0
61,942514.7935,0
62,933289.1501,0
63,923897.7334,0
64,915443.2961,0
65,919263.2891,0
66,960915.6275,0
67,1.01E+06,0
68,1.02E+06,0
69,1.00E+06,0
70,963200.4158,0
71,909605.1937,0
72,846070.7823,0
73,791639.4863,0
74,761115.5802,0
75,745374.3261,0
76,741489.4654,0
77,751868.3142,0
78,797304.6079,0
79,882454.4134,0
80,939941.7039,0
81,953354.9245,0
82,951207.0794,0
83,943336.4523,0
84,928654.7058,0
85,916740.6522,0
86,908560.1012,0
87,900977.7756,0
88,897647.8949,0
89,899716.4571,0
90,936345.1444,0
91,981680.5327,0
92,990437.6864,0
93,974703.6399,0
94,944532.903,0
95,897741.5929,0
96,836405.4793,0
97,791055.676,0
98,758549.6981,0
99,744595.9125,0
100,744783.3084,0
101,758434.3776,0
102,801211.0913,0
103,874389.183,0
104,932856.698,0
105,958940.7632,0
106,961355.2871,0
107,951653.9465,0
108,941109.3244,0
109,927523.1229,0
110,917965.933,0
111,908134.8567,0
112,897835.2908,0
113,895247.7861,0
114,925267.1648,0
115,969773.6867,0
116,971669.2681,0
117,955178.4305,0
118,930096.2125,0
119,890555.6816,0
120,838798.3806,0
121,789455.6035,0
122,765288.7423,0
123,742260.6715,0
124,741143.5037,0
125,751796.2388,0
126,779343.4334,0
127,819201.0959,0
128,864240.9753,0
129,908170.8944,0
130,931400.7762,0
131,935566.7308,0
132,923241.8478,0
133,890375.4932,0
134,847721.3076,0
135,809961.0374,0
136,780446.1861,0
137,760524.5624,0
138,772604.3892,0
139,802349.8816,0
140,809117.756,0
141,805888.7808,0
142,802609.3529,0
143,790493.4884,0
144,768633.038,0
145,748754.6595,0
146,738390.2258,0
147,736422.569,0
148,744300.4036,0
149,762333.6534,0
150,794587.3676,0
151,840412.8682,0
152,879311.9287,0
153,893964.8451,0
154,887550.1399,0
155,870331.3414,0
156,851844.017,0
157,832852.1651,0
158,817946.985,0
159,806061.7616,0
160,800432.6776,0
161,804137.3501,0
162,844751.8036,0
163,891845.8301,0
164,895586.5402,0
165,883888.7127,0
166,864406.7486,0
167,833947.7103,0
168,796446.9114,0
169,774247.707,0
170,734209.8561,0
171,710713.2956,0
172,702338.1412,0
173,718655.998,0
174,775804.5343,0
175,848261.8726,0
176,895817.1813,0
177,920402.0794,0
178,952785.5293,0
179,985579.8085,0
180,1.02E+06,0
