Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1.0,0.0,0.976378679,1.0
2,1.0,0.0,0.984107256,1.0
3,1.0,0.0,0.99087131,1.0
4,1.0,0.0,0.994603217,1.0
5,1.0,0.0,0.998851299,1.0
6,1.0,0.0,0.971774817,1.0
7,1.0,0.0445,0.976561904,1.0
8,1.0,0.2149,0.987968087,1.0
9,1.0,0.3872,0.9882195,1.0
10,1.0,0.5191,0.998106122,1.0
11,1.0,0.6164,0.999568939,1.0
12,1.0,0.6094,1.0,1.0
13,1.0,0.6213,1.0,1.0
14,1.0,0.5855,1.0,1.0
15,1.0,0.5484,1.0,1.0
16,1.0,0.4324,0.999595284,1.0
17,1.0,0.2942,0.99711287,1.0
18,1.0,0.1239,0.978482008,1.0
19,1.0,0.0042,0.962880611,1.0
20,1.0,0.0,0.863191187,1.0
21,1.0,0.0,0.776013196,1.0
22,1.0,0.0,0.648169994,1.0
23,1.0,0.0,0.797179341,1.0
24,1.0,0.0,0.852513611,1.0
25,1.0,0.0,0.849295974,1.0
26,1.0,0.0,0.894008577,1.0
27,1.0,0.0,0.865724504,1.0
28,1.0,0.0,0.631549954,1.0
29,1.0,0.0,0.685942769,1.0
30,1.0,0.0,0.626031876,1.0
31,1.0,0.0596,0.655419469,1.0
32,1.0,0.2421,0.373634547,1.0
33,1.0,0.4408,0.767348826,1.0
34,1.0,0.5842,0.818964839,1.0
35,1.0,0.6896,0.899868667,1.0
36,1.0,0.6858,0.827887177,1.0
37,1.0,0.6341,0.77583307,1.0
38,1.0,0.5742,0.822852373,1.0
39,1.0,0.5271,0.75891304,1.0
40,1.0,0.4501,0.675263107,1.0
41,1.0,0.3211,0.593019366,1.0
42,1.0,0.1502,0.617896497,1.0
43,1.0,0.0118,0.502039552,1.0
44,1.0,0.0,0.508851111,1.0
45,1.0,0.0,0.873926282,1.0
46,1.0,0.0,0.942997217,1.0
47,1.0,0.0,0.805597007,1.0
48,1.0,0.0,0.685475111,1.0
49,1.0,0.0,0.700337529,1.0
50,1.0,0.0,0.798646748,1.0
51,1.0,0.0,0.78850621,1.0
52,1.0,0.0,0.574973226,1.0
53,1.0,0.0,0.569176912,1.0
54,1.0,0.0,0.650138378,1.0
55,1.0,0.0674,0.499311596,1.0
56,1.0,0.2425,0.159487605,1.0
57,1.0,0.4158,0.053038668,1.0
58,1.0,0.5463,0.038856283,1.0
59,1.0,0.6386,0.031829014,1.0
60,1.0,0.6422,0.051378038,1.0
61,1.0,0.619,0.065047957,1.0
62,1.0,0.535,0.083698675,1.0
63,1.0,0.4947,0.117394306,1.0
64,1.0,0.436,0.211323068,1.0
65,1.0,0.31,0.504378438,1.0
66,1.0,0.141,0.598919272,1.0
67,1.0,0.0057,0.576928318,1.0
68,1.0,0.0,0.245412409,1.0
69,1.0,0.0,0.399470031,1.0
70,1.0,0.0,0.354025811,1.0
71,1.0,0.0,0.363210678,1.0
72,1.0,0.0,0.323179245,1.0
73,1.0,0.0,0.398632646,1.0
74,1.0,0.0,0.341559738,1.0
75,1.0,0.0,0.321574986,1.0
76,1.0,0.0,0.396199942,1.0
77,1.0,0.0,0.636986494,1.0
78,1.0,0.0,0.890024364,1.0
79,1.0,0.0646,0.637552381,1.0
80,1.0,0.24,0.286298871,1.0
81,1.0,0.4124,0.223013029,1.0
82,1.0,0.5387,0.514375925,1.0
83,1.0,0.5942,0.528874278,1.0
84,1.0,0.5769,0.548655272,1.0
85,1.0,0.5447,0.557774305,1.0
86,1.0,0.5418,0.457361192,1.0
87,1.0,0.534,0.583439648,1.0
88,1.0,0.4351,0.72592026,1.0
89,1.0,0.2974,0.435780674,1.0
90,1.0,0.1269,0.461076498,1.0
91,1.0,0.0095,0.124610268,1.0
92,1.0,0.0,0.126709461,1.0
93,1.0,0.0,0.135599941,1.0
