commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Gasoline,flow,SE_BECCS_FT_Herb_transforms,gasoline_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
Gasoline,flow,SE_BECCS_FT_Wood_transforms,gasoline_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,2.3140341857539227e-11,,SE,2.3140341857539227e-11
Gasoline,flow,SE_Bio_FT_Herb_transforms,gasoline_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,2.2147972805913805e-12,,SE,2.2147972805913805e-12
Gasoline,flow,SE_Bio_FT_Wood_transforms,gasoline_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
Gasoline,flow,SE_Bio_Gasoline_Herb_transforms,gasoline_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,141017124.26736,,SE,141017124.26736
Gasoline,flow,SE_Bio_Gasoline_Wood_transforms,gasoline_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,197414305.36415306,,SE,197414305.36415306
Gasoline,flow,SE_Gasoline_Fossil_Upstream_transforms,gasoline_SE,SE_Gasoline_Fossil_Upstream,SE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,41598129.02226378,,SE,41598129.02226378
Gasoline,flow,SE_Synthetic_Ethylene_transforms,gasoline_SE,SE_Synthetic_Ethylene,SE_Synthetic_Ethylene_gasoline_production_edge,SyntheticEthylene,flow,504,873331.2718231621,,SE,873331.2718231621
Gasoline,flow,SE_Synthetic_FT_transforms,gasoline_SE,SE_Synthetic_FT,SE_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,0.0
Gasoline,flow,gasoline_SE,SE_Gasoline_Use_transforms,SE_Gasoline_Use,SE_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,380902889.9256,,SE,-380902889.9256
