,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow,value
0,Electricity,flow,CT_battery_storage,elec_CT,CT_battery,CT_battery_discharge_edge,Battery,flow,8736,0.0,,CT,0.0,
1,Electricity,flow,CT_natural_gas_combined_cycle_transforms,elec_CT,CT_natural_gas_combined_cycle,CT_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},flow,8736,67966061.08966793,,CT,67966061.08966793,
2,Electricity,flow,CT_onshore_wind_transforms,elec_CT,CT_onshore_wind,CT_onshore_wind_edge,VRE,flow,8736,0.0,,CT,0.0,
3,Electricity,flow,CT_solar_pv_transforms,elec_CT,CT_solar_pv,CT_solar_pv_edge,VRE,flow,8736,0.0,,CT,0.0,
4,Electricity,flow,MA_battery_storage,elec_MA,MA_battery,MA_battery_discharge_edge,Battery,flow,8736,0.0,,MA,0.0,
5,Electricity,flow,MA_natural_gas_combined_cycle_transforms,elec_MA,MA_natural_gas_combined_cycle,MA_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},flow,8736,50071599.96710216,,MA,50071599.96710216,
6,Electricity,flow,MA_solar_pv_transforms,elec_MA,MA_solar_pv,MA_solar_pv_edge,VRE,flow,8736,0.0,,MA,0.0,
7,Electricity,flow,ME_battery_storage,elec_ME,ME_battery,ME_battery_discharge_edge,Battery,flow,8736,0.0,,ME,0.0,
8,Electricity,flow,ME_natural_gas_combined_cycle_transforms,elec_ME,ME_natural_gas_combined_cycle,ME_natural_gas_combined_cycle_elec_edge,ThermalPower{NaturalGas},flow,8736,22891.199997856853,,ME,22891.199997856853,
9,Electricity,flow,ME_onshore_wind_transforms,elec_ME,ME_onshore_wind,ME_onshore_wind_edge,VRE,flow,8736,0.0,,ME,0.0,
10,Electricity,flow,elec_CT,CT_battery_storage,CT_battery,CT_battery_charge_edge,Battery,flow,8736,0.0,,CT,-0.0,
11,Electricity,flow,elec_MA,MA_battery_storage,MA_battery,MA_battery_charge_edge,Battery,flow,8736,0.0,,MA,-0.0,
12,Electricity,flow,elec_ME,ME_battery_storage,ME_battery,ME_battery_charge_edge,Battery,flow,8736,0.0,,ME,-0.0,
13,Electricity,flow,natgas_MA,natgas_demand_MA,MA_Electricity_Demand,MA_Electricity_demand_edge,Demand,flow,8736,82720946.73076923,1.0027472527472527,MA,-82720946.73076923,82494314.0
14,Electricity,flow,natgas_CT,natgas_demand_CT,CT_Electricity_Demand,CT_Electricity_demand_edge,Demand,flow,8736,23628812.47252747,1.0027472527472527,CT,-23628812.47252747,23564076.0
15,Electricity,flow,natgas_ME,natgas_demand_ME,ME_Electricity_Demand,ME_Electricity_demand_edge,Demand,flow,8736,11277115.206043957,1.0027472527472527,ME,-11277115.206043957,11246219.0
16,Electricity,flow,elec_MA,elec_nsd_MA,MA_Electricity_NSD,MA_Electricity_nsd_edge,NSD,flow,8736,225.2047933868478,1.0027472527472527,MA,-225.2047933868478,224.58779395291123
17,Electricity,flow,elec_CT,elec_nsd_CT,CT_Electricity_NSD,CT_Electricity_nsd_edge,NSD,flow,8736,28.638461538461538,1.0027472527472527,CT,-28.638461538461538,28.56
18,Electricity,flow,elec_ME,elec_nsd_ME,ME_Electricity_NSD,ME_Electricity_nsd_edge,NSD,flow,8736,88.92663461538463,1.0027472527472527,ME,-88.92663461538463,88.683
