2026-03-03 16:53:52 | INFO | 1 | MacroEnergy | run_tools.jl:123 | Running case at /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/examples/multisector_3zone
2026-03-03 16:53:52 | INFO | 1 | MacroEnergy | user_additions.jl:19 |  ++ Loading user additions from MacroEnergyExamples/examples/multisector_3zone/tmp/UserAdditions.jl
2026-03-03 16:53:53 | INFO | 1 | Base | loading.jl:3059 | Precompiling UserAdditions [top-level] (cache misses: wrong dep version loaded (2))
2026-03-03 16:53:57 | INFO | 1 | MacroEnergy | user_additions.jl:23 |  ++ Successfully loaded UserAdditions module.
2026-03-03 16:53:57 | INFO | 1 | MacroEnergy | load_stages_data.jl:36 | Loading case from /Users/abbie/MacroEnergy-Abbie.jl/MacroEnergyExamples/examples/multisector_3zone/system_data.json
2026-03-03 16:53:57 | INFO | 1 | MacroEnergy | load_system_data.jl:17 | Loading system data
2026-03-03 16:53:58 | WARN | 1 | MacroEnergy | load_json_inputs.jl:137 | Could not find: "system/locations.json", full path: /Users/abbie/MacroEnergy-Abbie.jl/system/locations.json
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | load_system_data.jl:25 | Done loading system data. It took 6.43 seconds
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | load_stages_data.jl:19 | Done loading case data. It took 6.43 seconds
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | case.jl:15 | *** Generating case ***
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | case_settings.jl:126 | Configuring case
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | case_settings.jl:150 |  -- Setting solution algorithm
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | case_settings.jl:161 |  -- Solution algorithm set to MacroEnergy.Monolithic()
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | case.jl:30 | Generating systems
2026-03-03 16:54:04 | INFO | 1 | MacroEnergy | generate_system.jl:18 | Generating system
