commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
Gasoline,flow,MIDAT_BECCS_FT_Herb_transforms,gasoline_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,MIDAT_BECCS_FT_Wood_transforms,gasoline_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,MIDAT_Bio_FT_Herb_transforms,gasoline_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,MIDAT_Bio_FT_Wood_transforms,gasoline_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,MIDAT_Bio_Gasoline_Herb_transforms,gasoline_MIDAT,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,24170534.00442,
Gasoline,flow,MIDAT_Bio_Gasoline_Wood_transforms,gasoline_MIDAT,MIDAT_Bio_Gasoline_Wood,MIDAT_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,108215154.77795999,
Gasoline,flow,MIDAT_Gasoline_Fossil_Upstream_transforms,gasoline_MIDAT,MIDAT_Gasoline_Fossil_Upstream,MIDAT_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,106635258.28002,
Gasoline,flow,MIDAT_Synthetic_FT_transforms,gasoline_MIDAT,MIDAT_Synthetic_FT,MIDAT_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_BECCS_FT_Herb_transforms,gasoline_NE,NE_BECCS_FT_Herb,NE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_BECCS_FT_Wood_transforms,gasoline_NE,NE_BECCS_FT_Wood,NE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_Bio_FT_Herb_transforms,gasoline_NE,NE_Bio_FT_Herb,NE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_Bio_FT_Wood_transforms,gasoline_NE,NE_Bio_FT_Wood,NE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_Bio_Gasoline_Herb_transforms,gasoline_NE,NE_Bio_Gasoline_Herb,NE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,5272965.73728,
Gasoline,flow,NE_Bio_Gasoline_Wood_transforms,gasoline_NE,NE_Bio_Gasoline_Wood,NE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,33748326.58572,
Gasoline,flow,NE_Gasoline_Fossil_Upstream_transforms,gasoline_NE,NE_Gasoline_Fossil_Upstream,NE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,97895488.497,
Gasoline,flow,NE_Synthetic_FT_transforms,gasoline_NE,NE_Synthetic_FT,NE_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,
Gasoline,flow,SE_BECCS_FT_Herb_transforms,gasoline_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,SE_BECCS_FT_Wood_transforms,gasoline_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,SE_Bio_FT_Herb_transforms,gasoline_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,SE_Bio_FT_Wood_transforms,gasoline_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,SE_Bio_Gasoline_Herb_transforms,gasoline_SE,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,141017124.26736,
Gasoline,flow,SE_Bio_Gasoline_Wood_transforms,gasoline_SE,SE_Bio_Gasoline_Wood,SE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,197643421.15128,
Gasoline,flow,SE_Gasoline_Fossil_Upstream_transforms,gasoline_SE,SE_Gasoline_Fossil_Upstream,SE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,42242344.506960005,
Gasoline,flow,SE_Synthetic_FT_transforms,gasoline_SE,SE_Synthetic_FT,SE_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,
Gasoline,flow,gasoline_MIDAT,MIDAT_Gasoline_Use_transforms,MIDAT_Gasoline_Use,MIDAT_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,239020947.0624,
Gasoline,flow,gasoline_NE,NE_Gasoline_Use_transforms,NE_Gasoline_Use,NE_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,136916780.82,
Gasoline,flow,gasoline_SE,SE_Gasoline_Use_transforms,SE_Gasoline_Use,SE_Gasoline_Use_fuel_edge,FuelsEndUse{UserAdditions.Gasoline},flow,504,380902889.9256,
