,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_BECCS_Electricity_Herb_transforms,MIDAT_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,flow,504,0.0,,MIDAT,-0.0
1,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_BECCS_FT_Herb_transforms,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,-0.0
2,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_BECCS_H2_Herb_transforms,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,-0.0
3,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_BECCS_NaturalGas_Herb_transforms,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,-0.0
4,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_Bio_FT_Herb_transforms,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,-0.0
5,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_Bio_Gasoline_Herb_transforms,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,flow,504,11956436.4,,MIDAT,-11956436.4
6,Biomass_Herb,flow,bioherb_MIDAT,MIDAT_Bio_NaturalGas_Herb_transforms,MIDAT_Bio_NaturalGas_Herb,MIDAT_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,-0.0
7,Biomass_Herb,flow,bioherb_NE,NE_BECCS_Electricity_Herb_transforms,NE_BECCS_Electricity_Herb,NE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,flow,504,0.0,,NE,-0.0
8,Biomass_Herb,flow,bioherb_NE,NE_BECCS_FT_Herb_transforms,NE_BECCS_FT_Herb,NE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,NE,-0.0
9,Biomass_Herb,flow,bioherb_NE,NE_BECCS_H2_Herb_transforms,NE_BECCS_H2_Herb,NE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,flow,504,0.0,,NE,-0.0
10,Biomass_Herb,flow,bioherb_NE,NE_BECCS_NaturalGas_Herb_transforms,NE_BECCS_NaturalGas_Herb,NE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,6.7979393285374084e-12,,NE,-6.7979393285374084e-12
11,Biomass_Herb,flow,bioherb_NE,NE_Bio_FT_Herb_transforms,NE_Bio_FT_Herb,NE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,NE,-0.0
12,Biomass_Herb,flow,bioherb_NE,NE_Bio_Gasoline_Herb_transforms,NE_Bio_Gasoline_Herb,NE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,flow,504,2608377.6,,NE,-2608377.6
13,Biomass_Herb,flow,bioherb_NE,NE_Bio_NaturalGas_Herb_transforms,NE_Bio_NaturalGas_Herb,NE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,0.0,,NE,-0.0
14,Biomass_Herb,flow,bioherb_SE,SE_BECCS_Electricity_Herb_transforms,SE_BECCS_Electricity_Herb,SE_BECCS_Electricity_Herb_biomass_edge,BECCSElectricity,flow,504,0.0,,SE,-0.0
15,Biomass_Herb,flow,bioherb_SE,SE_BECCS_FT_Herb_transforms,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0
16,Biomass_Herb,flow,bioherb_SE,SE_BECCS_H2_Herb_transforms,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_biomass_edge,BECCSHydrogen,flow,504,0.0,,SE,-0.0
17,Biomass_Herb,flow,bioherb_SE,SE_BECCS_NaturalGas_Herb_transforms,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0
18,Biomass_Herb,flow,bioherb_SE,SE_Bio_FT_Herb_transforms,SE_Bio_FT_Herb,SE_Bio_FT_Herb_biomass_edge,BECCSLiquidFuels,flow,504,0.0,,SE,-0.0
19,Biomass_Herb,flow,bioherb_SE,SE_Bio_Gasoline_Herb_transforms,SE_Bio_Gasoline_Herb,SE_Bio_Gasoline_Herb_biomass_edge,BECCSGasoline,flow,504,69756931.2,,SE,-69756931.2
20,Biomass_Herb,flow,bioherb_SE,SE_Bio_NaturalGas_Herb_transforms,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_biomass_edge,BECCSNaturalGas,flow,504,0.0,,SE,-0.0
