,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,CO2Captured,flow,MIDAT_ATR_wCCS_94pct_transforms,co2_captured_MIDAT,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_co2_captured_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
1,CO2Captured,flow,MIDAT_BECCS_Electricity_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb_co2_captured_edge,BECCSElectricity,flow,504,0.0,,MIDAT,0.0
2,CO2Captured,flow,MIDAT_BECCS_Electricity_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood_co2_captured_edge,BECCSElectricity,flow,504,0.0,,MIDAT,0.0
3,CO2Captured,flow,MIDAT_BECCS_FT_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
4,CO2Captured,flow,MIDAT_BECCS_FT_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
5,CO2Captured,flow,MIDAT_BECCS_H2_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_co2_captured_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
6,CO2Captured,flow,MIDAT_BECCS_H2_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_co2_captured_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
7,CO2Captured,flow,MIDAT_BECCS_NaturalGas_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
8,CO2Captured,flow,MIDAT_BECCS_NaturalGas_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,,MIDAT,0.0
9,CO2Captured,flow,MIDAT_Bio_FT_Herb_transforms,co2_captured_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
10,CO2Captured,flow,MIDAT_Bio_FT_Wood_transforms,co2_captured_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
11,CO2Captured,flow,MIDAT_Bio_Gasoline_Herb_transforms,co2_captured_MIDAT,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_co2_captured_edge,BECCSGasoline,flow,504,0.0,,MIDAT,0.0
