,commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
0,Diesel,flow,MIDAT_BECCS_FT_Herb_transforms,diesel_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
1,Diesel,flow,MIDAT_BECCS_FT_Wood_transforms,diesel_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
2,Diesel,flow,MIDAT_Bio_FT_Herb_transforms,diesel_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
3,Diesel,flow,MIDAT_Bio_FT_Wood_transforms,diesel_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
4,Diesel,flow,MIDAT_Diesel_Fossil_Upstream_transforms,diesel_MIDAT,MIDAT_Diesel_Fossil_Upstream,MIDAT_Diesel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,114881628.1236,,MIDAT,114881628.1236
5,Diesel,flow,MIDAT_Synthetic_FT_transforms,diesel_MIDAT,MIDAT_Synthetic_FT,MIDAT_Synthetic_FT_diesel_edge,SyntheticLiquidFuels,flow,504,0.0,,MIDAT,0.0
6,Diesel,flow,NE_BECCS_FT_Herb_transforms,diesel_NE,NE_BECCS_FT_Herb,NE_BECCS_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,NE,0.0
7,Diesel,flow,NE_BECCS_FT_Wood_transforms,diesel_NE,NE_BECCS_FT_Wood,NE_BECCS_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,NE,0.0
8,Diesel,flow,NE_Bio_FT_Herb_transforms,diesel_NE,NE_Bio_FT_Herb,NE_Bio_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,NE,0.0
9,Diesel,flow,NE_Bio_FT_Wood_transforms,diesel_NE,NE_Bio_FT_Wood,NE_Bio_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,NE,0.0
10,Diesel,flow,NE_Diesel_Fossil_Upstream_transforms,diesel_NE,NE_Diesel_Fossil_Upstream,NE_Diesel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,72585328.31508,,NE,72585328.31508
11,Diesel,flow,NE_Synthetic_FT_transforms,diesel_NE,NE_Synthetic_FT,NE_Synthetic_FT_diesel_edge,SyntheticLiquidFuels,flow,504,0.0,,NE,0.0
12,Diesel,flow,SE_BECCS_FT_Herb_transforms,diesel_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
13,Diesel,flow,SE_BECCS_FT_Wood_transforms,diesel_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
14,Diesel,flow,SE_Bio_FT_Herb_transforms,diesel_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
15,Diesel,flow,SE_Bio_FT_Wood_transforms,diesel_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_diesel_edge,BECCSLiquidFuels,flow,504,0.0,,SE,0.0
16,Diesel,flow,SE_Diesel_Fossil_Upstream_transforms,diesel_SE,SE_Diesel_Fossil_Upstream,SE_Diesel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,178717591.3152,,SE,178717591.3152
17,Diesel,flow,SE_Synthetic_FT_transforms,diesel_SE,SE_Synthetic_FT,SE_Synthetic_FT_diesel_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,0.0
18,Diesel,flow,diesel_MIDAT,MIDAT_Diesel_Use_transforms,MIDAT_Diesel_Use,MIDAT_Diesel_Use_fuel_edge,FuelsEndUse{UserAdditions.Diesel},flow,504,114881628.1236,,MIDAT,-114881628.1236
19,Diesel,flow,diesel_NE,NE_Diesel_Use_transforms,NE_Diesel_Use,NE_Diesel_Use_fuel_edge,FuelsEndUse{UserAdditions.Diesel},flow,504,72585328.31508,,NE,-72585328.31508
20,Diesel,flow,diesel_SE,SE_Diesel_Use_transforms,SE_Diesel_Use,SE_Diesel_Use_fuel_edge,FuelsEndUse{UserAdditions.Diesel},flow,504,178717591.3152,,SE,-178717591.3152
