commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
CO2,flow,MIDAT_ATR_wCCS_94pct_transforms,co2_sink,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_co2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_Electricity_Herb_transforms,co2_sink,MIDAT_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb_co2_emission_edge,BECCSElectricity,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_Electricity_Wood_transforms,co2_sink,MIDAT_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood_co2_emission_edge,BECCSElectricity,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_FT_Herb_transforms,co2_sink,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_FT_Wood_transforms,co2_sink,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_H2_Herb_transforms,co2_sink,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_co2_emission_edge,BECCSHydrogen,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_H2_Wood_transforms,co2_sink,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_co2_emission_edge,BECCSHydrogen,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_NaturalGas_Herb_transforms,co2_sink,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_BECCS_NaturalGas_Wood_transforms,co2_sink,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Bio_FT_Herb_transforms,co2_sink,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Bio_FT_Wood_transforms,co2_sink,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_co2_emission_edge,BECCSLiquidFuels,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Bio_Gasoline_Herb_transforms,co2_sink,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_co2_emission_edge,BECCSGasoline,flow,504,14698405.959612,,all,14698405.959612
CO2,flow,MIDAT_Bio_Gasoline_Wood_transforms,co2_sink,MIDAT_Bio_Gasoline_Wood,MIDAT_Bio_Gasoline_Wood_co2_emission_edge,BECCSGasoline,flow,504,65806997.711256,,all,65806997.711256
CO2,flow,MIDAT_Bio_NaturalGas_Herb_transforms,co2_sink,MIDAT_Bio_NaturalGas_Herb,MIDAT_Bio_NaturalGas_Herb_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Bio_NaturalGas_Wood_transforms,co2_sink,MIDAT_Bio_NaturalGas_Wood,MIDAT_Bio_NaturalGas_Wood_co2_emission_edge,BECCSNaturalGas,flow,504,0.0,,all,0.0
CO2,flow,MIDAT_CCGT-H2_transforms,co2_sink,MIDAT_CCGT-H2,MIDAT_CCGT-H2_co2_edge,ThermalPower{Hydrogen},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Diesel_Fossil_Upstream_transforms,co2_sink,MIDAT_Diesel_Fossil_Upstream,MIDAT_Diesel_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Diesel_Use_transforms,co2_sink,MIDAT_Diesel_Use,MIDAT_Diesel_Use_co2_edge,FuelsEndUse{MacroEnergy.Diesel},flow,504,29046642.823653765,,all,29046642.823653765
CO2,flow,MIDAT_Gasoline_Fossil_Upstream_transforms,co2_sink,MIDAT_Gasoline_Fossil_Upstream,MIDAT_Gasoline_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_Gasoline_Use_transforms,co2_sink,MIDAT_Gasoline_Use,MIDAT_Gasoline_Use_co2_edge,FuelsEndUse{MacroEnergy.Gasoline},flow,504,57661047.80630532,,all,57661047.80630532
CO2,flow,MIDAT_JetFuel_Fossil_Upstream_transforms,co2_sink,MIDAT_JetFuel_Fossil_Upstream,MIDAT_JetFuel_Fossil_Upstream_co2_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_JetFuel_Use_transforms,co2_sink,MIDAT_JetFuel_Use,MIDAT_JetFuel_Use_co2_edge,FuelsEndUse{MacroEnergy.JetFuel},flow,504,20518656.632422026,,all,20518656.632422026
CO2,flow,MIDAT_Large_SMR_Non_CCS_transforms,co2_sink,MIDAT_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS_co2_edge,ThermalHydrogen{NaturalGas},flow,504,6695206.181944197,,all,6695206.181944197
CO2,flow,MIDAT_Large_SMR_wCCS_96pct_transforms,co2_sink,MIDAT_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct_co2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,all,0.0
CO2,flow,MIDAT_NG_End_Use_transforms,co2_sink,MIDAT_NG_End_Use,MIDAT_NG_End_Use_co2_edge,FuelsEndUse{NaturalGas},flow,504,46451266.157074355,,all,46451266.157074355
