commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Electricity,flow,MIDAT_BECCS_Electricity_Herb_transforms,elec_MIDAT,MIDAT_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb_elec_edge,BECCSElectricity,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_BECCS_Electricity_Wood_transforms,elec_MIDAT,MIDAT_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood_elec_edge,BECCSElectricity,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_BECCS_FT_Herb_transforms,elec_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_BECCS_FT_Wood_transforms,elec_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_Bio_FT_Herb_transforms,elec_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_Bio_FT_Wood_transforms,elec_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_elec_production_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_CCGT-H2_transforms,elec_MIDAT,MIDAT_CCGT-H2,MIDAT_CCGT-H2_elec_edge,ThermalPower{Hydrogen},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_OCGT-H2_transforms,elec_MIDAT,MIDAT_OCGT-H2,MIDAT_OCGT-H2_elec_edge,ThermalPower{Hydrogen},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_Solvent_DAC_transforms,elec_MIDAT,MIDAT_Solvent_DAC,MIDAT_Solvent_DAC_elec_edge,NaturalGasDAC,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_conventional_hydroelectric_1_storage,elec_MIDAT,MIDAT_conventional_hydroelectric_1,MIDAT_conventional_hydroelectric_1_discharge_edge,HydroRes,flow,504,5102905.294265041,,MIDAT,5102905.294265041
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_1_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_1,MIDAT_landbasedwind_class4_moderate_70_1_edge,VRE,flow,504,5838558.051276769,,MIDAT,5838558.051276769
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_2_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_2,MIDAT_landbasedwind_class4_moderate_70_2_edge,VRE,flow,504,87368690.57856503,,MIDAT,87368690.57856503
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_3_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_3,MIDAT_landbasedwind_class4_moderate_70_3_edge,VRE,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_4_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_4,MIDAT_landbasedwind_class4_moderate_70_4_edge,VRE,flow,504,1643437.436393798,,MIDAT,1643437.436393798
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_5_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_5,MIDAT_landbasedwind_class4_moderate_70_5_edge,VRE,flow,504,55060971.343986504,,MIDAT,55060971.343986504
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_6_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_6,MIDAT_landbasedwind_class4_moderate_70_6_edge,VRE,flow,504,334809440.23746055,,MIDAT,334809440.23746055
Electricity,flow,MIDAT_landbasedwind_class4_moderate_70_7_transforms,elec_MIDAT,MIDAT_landbasedwind_class4_moderate_70_7,MIDAT_landbasedwind_class4_moderate_70_7_edge,VRE,flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_natural_gas_fired_combined_cycle_1_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_1,MIDAT_natural_gas_fired_combined_cycle_1_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_natural_gas_fired_combined_cycle_2_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_2,MIDAT_natural_gas_fired_combined_cycle_2_elec_edge,ThermalPower{NaturalGas},flow,504,87722390.78787188,,MIDAT,87722390.78787188
Electricity,flow,MIDAT_natural_gas_fired_combined_cycle_3_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_3,MIDAT_natural_gas_fired_combined_cycle_3_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_natural_gas_fired_combined_cycle_4_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combined_cycle_4,MIDAT_natural_gas_fired_combined_cycle_4_elec_edge,ThermalPower{NaturalGas},flow,504,34595963.38114259,,MIDAT,34595963.38114259
Electricity,flow,MIDAT_natural_gas_fired_combustion_turbine_1_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combustion_turbine_1,MIDAT_natural_gas_fired_combustion_turbine_1_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_natural_gas_fired_combustion_turbine_2_transforms,elec_MIDAT,MIDAT_natural_gas_fired_combustion_turbine_2,MIDAT_natural_gas_fired_combustion_turbine_2_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_naturalgas_ccavgcf_moderate_0_transforms,elec_MIDAT,MIDAT_naturalgas_ccavgcf_moderate_0,MIDAT_naturalgas_ccavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_naturalgas_ccccsavgcf_conservative_0_transforms,elec_MIDAT,MIDAT_naturalgas_ccccsavgcf_conservative_0,MIDAT_naturalgas_ccccsavgcf_conservative_0_elec_edge,ThermalPowerCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_naturalgas_ctavgcf_moderate_0_transforms,elec_MIDAT,MIDAT_naturalgas_ctavgcf_moderate_0,MIDAT_naturalgas_ctavgcf_moderate_0_elec_edge,ThermalPower{NaturalGas},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_nuclear_1_transforms,elec_MIDAT,MIDAT_nuclear_1,MIDAT_nuclear_1_elec_edge,ThermalPower{Uranium},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_nuclear_2_transforms,elec_MIDAT,MIDAT_nuclear_2,MIDAT_nuclear_2_elec_edge,ThermalPower{Uranium},flow,504,136086890.72499692,,MIDAT,136086890.72499692
Electricity,flow,MIDAT_nuclear_mid_0_transforms,elec_MIDAT,MIDAT_nuclear_mid_0,MIDAT_nuclear_mid_0_elec_edge,ThermalPower{Uranium},flow,504,0.0,,MIDAT,0.0
Electricity,flow,MIDAT_small_hydroelectric_1_transforms,elec_MIDAT,MIDAT_small_hydroelectric_1,MIDAT_small_hydroelectric_1_elec_edge,MustRun,flow,504,484048.51890414965,,MIDAT,484048.51890414965
