commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
Hydrogen,flow,MIDAT_ATR_wCCS_94pct_transforms,h2_MIDAT,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_Above_ground_storage_transforms,h2_MIDAT,MIDAT_Above_ground_storage,MIDAT_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,4219051.166469939,,MIDAT,4219051.166469939
Hydrogen,flow,MIDAT_BECCS_H2_Herb_transforms,h2_MIDAT,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_BECCS_H2_Wood_transforms,h2_MIDAT,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,MIDAT_Electrolyzer_transforms,h2_MIDAT,MIDAT_Electrolyzer,MIDAT_Electrolyzer_h2_edge,Electrolyzer,flow,504,36100337.912381805,,MIDAT,36100337.912381805
Hydrogen,flow,MIDAT_Large_SMR_Non_CCS_transforms,h2_MIDAT,MIDAT_Large_SMR_Non_CCS,MIDAT_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,28425208.88761819,,MIDAT,28425208.88761819
Hydrogen,flow,MIDAT_Large_SMR_wCCS_96pct_transforms,h2_MIDAT,MIDAT_Large_SMR_wCCS_96pct,MIDAT_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,NE_ATR_wCCS_94pct_transforms,h2_NE,NE_ATR_wCCS_94pct,NE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,NE,0.0
Hydrogen,flow,NE_Above_ground_storage_transforms,h2_NE,NE_Above_ground_storage,NE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,1321347.06541857,,NE,1321347.06541857
Hydrogen,flow,NE_BECCS_H2_Herb_transforms,h2_NE,NE_BECCS_H2_Herb,NE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,NE,0.0
Hydrogen,flow,NE_BECCS_H2_Wood_transforms,h2_NE,NE_BECCS_H2_Wood,NE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,-1.5713953656580208e-11,,NE,-1.5713953656580208e-11
Hydrogen,flow,NE_Electrolyzer_transforms,h2_NE,NE_Electrolyzer,NE_Electrolyzer_h2_edge,Electrolyzer,flow,504,9808544.475989584,,NE,9808544.475989584
Hydrogen,flow,NE_Large_SMR_Non_CCS_transforms,h2_NE,NE_Large_SMR_Non_CCS,NE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,6064049.924010417,,NE,6064049.924010417
Hydrogen,flow,NE_Large_SMR_wCCS_96pct_transforms,h2_NE,NE_Large_SMR_wCCS_96pct,NE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,NE,0.0
Hydrogen,flow,SE_ATR_wCCS_94pct_transforms,h2_SE,SE_ATR_wCCS_94pct,SE_ATR_wCCS_94pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_Above_ground_storage_transforms,h2_SE,SE_Above_ground_storage,SE_Above_ground_storage_external_discharge_edge,GasStorage{Hydrogen},flow,504,25101052.303539105,,SE,25101052.303539105
Hydrogen,flow,SE_BECCS_H2_Herb_transforms,h2_SE,SE_BECCS_H2_Herb,SE_BECCS_H2_Herb_h2_edge,BECCSHydrogen,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_BECCS_H2_Wood_transforms,h2_SE,SE_BECCS_H2_Wood,SE_BECCS_H2_Wood_h2_edge,BECCSHydrogen,flow,504,0.0,,SE,0.0
Hydrogen,flow,SE_Electrolyzer_transforms,h2_SE,SE_Electrolyzer,SE_Electrolyzer_h2_edge,Electrolyzer,flow,504,93643588.35507779,,SE,93643588.35507779
Hydrogen,flow,SE_Large_SMR_Non_CCS_transforms,h2_SE,SE_Large_SMR_Non_CCS,SE_Large_SMR_Non_CCS_h2_edge,ThermalHydrogen{NaturalGas},flow,504,35752561.64492221,,SE,35752561.64492221
Hydrogen,flow,SE_Large_SMR_wCCS_96pct_transforms,h2_SE,SE_Large_SMR_wCCS_96pct,SE_Large_SMR_wCCS_96pct_h2_edge,ThermalHydrogenCCS{NaturalGas},flow,504,0.0,,SE,0.0
Hydrogen,flow,h2_MIDAT,MIDAT_Above_ground_storage_transforms,MIDAT_Above_ground_storage,MIDAT_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,4219051.166469941,,MIDAT,-4219051.166469941
Hydrogen,flow,h2_MIDAT,MIDAT_CCGT-H2_transforms,MIDAT_CCGT-H2,MIDAT_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT,MIDAT_OCGT-H2_transforms,MIDAT_OCGT-H2,MIDAT_OCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT,MIDAT_Synthetic_FT_transforms,MIDAT_Synthetic_FT,MIDAT_Synthetic_FT_h2_edge,SyntheticLiquidFuels,flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT,MIDAT_Synthetic_NaturalGas_transforms,MIDAT_Synthetic_NaturalGas,MIDAT_Synthetic_NaturalGas_h2_edge,SyntheticNaturalGas,flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT,h2_MIDAT_to_NE_transforms,h2_MIDAT_to_NE,h2_MIDAT_to_NE_external_charge_edge,GasStorage{Hydrogen},flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT,h2_MIDAT_to_SE_transforms,h2_MIDAT_to_SE,h2_MIDAT_to_SE_external_charge_edge,GasStorage{Hydrogen},flow,504,0.0,,MIDAT,-0.0
Hydrogen,flow,h2_MIDAT_to_NE_transforms,h2_NE,h2_MIDAT_to_NE,h2_MIDAT_to_NE_external_discharge_edge,GasStorage{Hydrogen},flow,504,0.0,,NE,0.0
Hydrogen,flow,h2_MIDAT_to_SE_transforms,h2_SE,h2_MIDAT_to_SE,h2_MIDAT_to_SE_external_discharge_edge,GasStorage{Hydrogen},flow,504,0.0,,SE,0.0
Hydrogen,flow,h2_NE,NE_Above_ground_storage_transforms,NE_Above_ground_storage,NE_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,1321347.0654185694,,NE,-1321347.0654185694
Hydrogen,flow,h2_NE,NE_CCGT-H2_transforms,NE_CCGT-H2,NE_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,NE,-0.0
Hydrogen,flow,h2_NE,NE_OCGT-H2_transforms,NE_OCGT-H2,NE_OCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,NE,-0.0
Hydrogen,flow,h2_NE,NE_Synthetic_FT_transforms,NE_Synthetic_FT,NE_Synthetic_FT_h2_edge,SyntheticLiquidFuels,flow,504,0.0,,NE,-0.0
Hydrogen,flow,h2_NE,NE_Synthetic_NaturalGas_transforms,NE_Synthetic_NaturalGas,NE_Synthetic_NaturalGas_h2_edge,SyntheticNaturalGas,flow,504,0.0,,NE,-0.0
Hydrogen,flow,h2_NE,h2_NE_to_MIDAT_transforms,h2_NE_to_MIDAT,h2_NE_to_MIDAT_external_charge_edge,GasStorage{Hydrogen},flow,504,0.0,,NE,-0.0
Hydrogen,flow,h2_NE_to_MIDAT_transforms,h2_MIDAT,h2_NE_to_MIDAT,h2_NE_to_MIDAT_external_discharge_edge,GasStorage{Hydrogen},flow,504,0.0,,MIDAT,0.0
Hydrogen,flow,h2_SE,SE_Above_ground_storage_transforms,SE_Above_ground_storage,SE_Above_ground_storage_external_charge_edge,GasStorage{Hydrogen},flow,504,25101052.303539105,,SE,-25101052.303539105
Hydrogen,flow,h2_SE,SE_CCGT-H2_transforms,SE_CCGT-H2,SE_CCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,SE,-0.0
Hydrogen,flow,h2_SE,SE_OCGT-H2_transforms,SE_OCGT-H2,SE_OCGT-H2_fuel_edge,ThermalPower{Hydrogen},flow,504,0.0,,SE,-0.0
Hydrogen,flow,h2_SE,SE_Synthetic_FT_transforms,SE_Synthetic_FT,SE_Synthetic_FT_h2_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,-0.0
