commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
CO2Captured,flow,MIDAT_ATR_wCCS_94pct_transforms,co2_captured_MIDAT,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_co2_captured_edge,ThermalHydrogenCCS{NaturalGas},flow,504,15735807.729653215,
CO2Captured,flow,MIDAT_BECCS_Electricity_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_Electricity_Herb,MIDAT_BECCS_Electricity_Herb_co2_captured_edge,BECCSElectricity,flow,504,1.1699771448990159e-09,
CO2Captured,flow,MIDAT_BECCS_Electricity_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_Electricity_Wood,MIDAT_BECCS_Electricity_Wood_co2_captured_edge,BECCSElectricity,flow,504,3.850030026575664e-07,
CO2Captured,flow,MIDAT_BECCS_FT_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,-4.4337569685182945e-08,
CO2Captured,flow,MIDAT_BECCS_FT_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,43826554.01764498,
CO2Captured,flow,MIDAT_BECCS_H2_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_H2_Herb,MIDAT_BECCS_H2_Herb_co2_captured_edge,BECCSHydrogen,flow,504,17511408.70787647,
CO2Captured,flow,MIDAT_BECCS_H2_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_H2_Wood,MIDAT_BECCS_H2_Wood_co2_captured_edge,BECCSHydrogen,flow,504,12491727.921295496,
CO2Captured,flow,MIDAT_BECCS_NaturalGas_Herb_transforms,co2_captured_MIDAT,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_co2_captured_edge,BECCSNaturalGas,flow,504,1.3215877505909694e-11,
CO2Captured,flow,MIDAT_BECCS_NaturalGas_Wood_transforms,co2_captured_MIDAT,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_co2_captured_edge,BECCSNaturalGas,flow,504,0.0,
CO2Captured,flow,MIDAT_Bio_FT_Herb_transforms,co2_captured_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,
CO2Captured,flow,MIDAT_Bio_FT_Wood_transforms,co2_captured_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_co2_captured_edge,BECCSLiquidFuels,flow,504,0.0,
CO2Captured,flow,MIDAT_Bio_Gasoline_Herb_transforms,co2_captured_MIDAT,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_co2_captured_edge,BECCSGasoline,flow,504,0.0,
