commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
Gasoline,flow,MIDAT_BECCS_FT_Herb_transforms,gasoline_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,-1.8871760049063515e-08,
Gasoline,flow,MIDAT_BECCS_FT_Wood_transforms,gasoline_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,18654252.298242625,
Gasoline,flow,MIDAT_Bio_FT_Herb_transforms,gasoline_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,9.983547212569101e-11,
Gasoline,flow,MIDAT_Bio_FT_Wood_transforms,gasoline_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,0.0,
Gasoline,flow,MIDAT_Bio_Gasoline_Herb_transforms,gasoline_MIDAT,MIDAT_Bio_Gasoline_Herb,MIDAT_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,-5.662363398005729e-11,
Gasoline,flow,MIDAT_Bio_Gasoline_Wood_transforms,gasoline_MIDAT,MIDAT_Bio_Gasoline_Wood,MIDAT_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,0.0,
Gasoline,flow,MIDAT_Gasoline_Fossil_Upstream_transforms,gasoline_MIDAT,MIDAT_Gasoline_Fossil_Upstream,MIDAT_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,220366694.7641574,
Gasoline,flow,MIDAT_Synthetic_FT_transforms,gasoline_MIDAT,MIDAT_Synthetic_FT,MIDAT_Synthetic_FT_gasoline_edge,SyntheticLiquidFuels,flow,504,0.0,
Gasoline,flow,NE_BECCS_FT_Herb_transforms,gasoline_NE,NE_BECCS_FT_Herb,NE_BECCS_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,1081233.634703922,
Gasoline,flow,NE_BECCS_FT_Wood_transforms,gasoline_NE,NE_BECCS_FT_Wood,NE_BECCS_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,6920171.235225196,
Gasoline,flow,NE_Bio_FT_Herb_transforms,gasoline_NE,NE_Bio_FT_Herb,NE_Bio_FT_Herb_gasoline_edge,BECCSLiquidFuels,flow,504,1.1703351357072513e-09,
Gasoline,flow,NE_Bio_FT_Wood_transforms,gasoline_NE,NE_Bio_FT_Wood,NE_Bio_FT_Wood_gasoline_edge,BECCSLiquidFuels,flow,504,1.7424747343540363e-10,
Gasoline,flow,NE_Bio_Gasoline_Herb_transforms,gasoline_NE,NE_Bio_Gasoline_Herb,NE_Bio_Gasoline_Herb_gasoline_edge,BECCSGasoline,flow,504,2.3540979310953613e-10,
Gasoline,flow,NE_Bio_Gasoline_Wood_transforms,gasoline_NE,NE_Bio_Gasoline_Wood,NE_Bio_Gasoline_Wood_gasoline_edge,BECCSGasoline,flow,504,1.4375783547893162e-09,
Gasoline,flow,NE_Gasoline_Fossil_Upstream_transforms,gasoline_NE,NE_Gasoline_Fossil_Upstream,NE_Gasoline_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,128915375.95007089,
