commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight,zone,weighted_value_flow
JetFuel,flow,MIDAT_BECCS_FT_Herb_transforms,jetfuel_MIDAT,MIDAT_BECCS_FT_Herb,MIDAT_BECCS_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,-8.567950051630225e-08,,MIDAT,-8.567950051630225e-08
JetFuel,flow,MIDAT_BECCS_FT_Wood_transforms,jetfuel_MIDAT,MIDAT_BECCS_FT_Wood,MIDAT_BECCS_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,83288410.18632008,,MIDAT,83288410.18632008
JetFuel,flow,MIDAT_Bio_FT_Herb_transforms,jetfuel_MIDAT,MIDAT_Bio_FT_Herb,MIDAT_Bio_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,1.0292610170792731e-10,,MIDAT,1.0292610170792731e-10
JetFuel,flow,MIDAT_Bio_FT_Wood_transforms,jetfuel_MIDAT,MIDAT_Bio_FT_Wood,MIDAT_Bio_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,0.0,,MIDAT,0.0
JetFuel,flow,MIDAT_JetFuel_Fossil_Upstream_transforms,jetfuel_MIDAT,MIDAT_JetFuel_Fossil_Upstream,MIDAT_JetFuel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,0.0,,MIDAT,0.0
JetFuel,flow,MIDAT_Synthetic_FT_transforms,jetfuel_MIDAT,MIDAT_Synthetic_FT,MIDAT_Synthetic_FT_jetfuel_edge,SyntheticLiquidFuels,flow,504,0.0,,MIDAT,0.0
JetFuel,flow,NE_BECCS_FT_Herb_transforms,jetfuel_NE,NE_BECCS_FT_Herb,NE_BECCS_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,4827544.360110848,,NE,4827544.360110848
JetFuel,flow,NE_BECCS_FT_Wood_transforms,jetfuel_NE,NE_BECCS_FT_Wood,NE_BECCS_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,30897516.082877677,,NE,30897516.082877677
JetFuel,flow,NE_Bio_FT_Herb_transforms,jetfuel_NE,NE_Bio_FT_Herb,NE_Bio_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,1.20656546861932e-09,,NE,1.20656546861932e-09
JetFuel,flow,NE_Bio_FT_Wood_transforms,jetfuel_NE,NE_Bio_FT_Wood,NE_Bio_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,1.796416923894782e-10,,NE,1.796416923894782e-10
JetFuel,flow,NE_JetFuel_Fossil_Upstream_transforms,jetfuel_NE,NE_JetFuel_Fossil_Upstream,NE_JetFuel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,50597900.66005147,,NE,50597900.66005147
JetFuel,flow,NE_Synthetic_FT_transforms,jetfuel_NE,NE_Synthetic_FT,NE_Synthetic_FT_jetfuel_edge,SyntheticLiquidFuels,flow,504,-1.2007877786754569e-11,,NE,-1.2007877786754569e-11
JetFuel,flow,SE_BECCS_FT_Herb_transforms,jetfuel_SE,SE_BECCS_FT_Herb,SE_BECCS_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,129105034.40652186,,SE,129105034.40652186
JetFuel,flow,SE_BECCS_FT_Wood_transforms,jetfuel_SE,SE_BECCS_FT_Wood,SE_BECCS_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,23110298.80187815,,SE,23110298.80187815
JetFuel,flow,SE_Bio_FT_Herb_transforms,jetfuel_SE,SE_Bio_FT_Herb,SE_Bio_FT_Herb_jetfuel_edge,BECCSLiquidFuels,flow,504,1.4195810910102445e-10,,SE,1.4195810910102445e-10
JetFuel,flow,SE_Bio_FT_Wood_transforms,jetfuel_SE,SE_Bio_FT_Wood,SE_Bio_FT_Wood_jetfuel_edge,BECCSLiquidFuels,flow,504,-3.723143883719756e-11,,SE,-3.723143883719756e-11
JetFuel,flow,SE_JetFuel_Fossil_Upstream_transforms,jetfuel_SE,SE_JetFuel_Fossil_Upstream,SE_JetFuel_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{LiquidFuels},flow,504,-2.8011611891719287e-13,,SE,-2.8011611891719287e-13
JetFuel,flow,SE_Synthetic_FT_transforms,jetfuel_SE,SE_Synthetic_FT,SE_Synthetic_FT_jetfuel_edge,SyntheticLiquidFuels,flow,504,0.0,,SE,0.0
JetFuel,flow,jetfuel_MIDAT,MIDAT_JetFuel_Use_transforms,MIDAT_JetFuel_Use,MIDAT_JetFuel_Use_fuel_edge,FuelsEndUse{MacroEnergy.JetFuel},flow,504,83288410.18631999,,MIDAT,-83288410.18631999
JetFuel,flow,jetfuel_NE,NE_JetFuel_Use_transforms,NE_JetFuel_Use,NE_JetFuel_Use_fuel_edge,FuelsEndUse{MacroEnergy.JetFuel},flow,504,86322961.10304,,NE,-86322961.10304
JetFuel,flow,jetfuel_SE,SE_JetFuel_Use_transforms,SE_JetFuel_Use,SE_JetFuel_Use_fuel_edge,FuelsEndUse{MacroEnergy.JetFuel},flow,504,152215333.20839998,,SE,-152215333.20839998
