commodity,commodity_subtype,node_in,node_out,resource_id,component_id,type,variable,time,weighted_value,time_weight
NaturalGas,flow,MIDAT_BECCS_NaturalGas_Herb_transforms,natgas_MIDAT,MIDAT_BECCS_NaturalGas_Herb,MIDAT_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,7.471824419253908e-11,
NaturalGas,flow,MIDAT_BECCS_NaturalGas_Wood_transforms,natgas_MIDAT,MIDAT_BECCS_NaturalGas_Wood,MIDAT_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,
NaturalGas,flow,MIDAT_Bio_NaturalGas_Herb_transforms,natgas_MIDAT,MIDAT_Bio_NaturalGas_Herb,MIDAT_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,3.8913185684088034e-10,
NaturalGas,flow,MIDAT_Bio_NaturalGas_Wood_transforms,natgas_MIDAT,MIDAT_Bio_NaturalGas_Wood,MIDAT_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,0.0,
NaturalGas,flow,MIDAT_NG_Fossil_Upstream_transforms,natgas_MIDAT,MIDAT_NG_Fossil_Upstream,MIDAT_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,13894144.046570603,
NaturalGas,flow,MIDAT_Synthetic_NaturalGas_transforms,natgas_MIDAT,MIDAT_Synthetic_NaturalGas,MIDAT_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,493205283.49518865,
NaturalGas,flow,NE_BECCS_NaturalGas_Herb_transforms,natgas_NE,NE_BECCS_NaturalGas_Herb,NE_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,1.7644909246029008e-11,
NaturalGas,flow,NE_BECCS_NaturalGas_Wood_transforms,natgas_NE,NE_BECCS_NaturalGas_Wood,NE_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,4.2235220886456e-10,
NaturalGas,flow,NE_Bio_NaturalGas_Herb_transforms,natgas_NE,NE_Bio_NaturalGas_Herb,NE_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,5.647657673392502e-11,
NaturalGas,flow,NE_Bio_NaturalGas_Wood_transforms,natgas_NE,NE_Bio_NaturalGas_Wood,NE_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,2.6096212103182875e-10,
NaturalGas,flow,NE_NG_Fossil_Upstream_transforms,natgas_NE,NE_NG_Fossil_Upstream,NE_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,28835382.819664598,
NaturalGas,flow,NE_Synthetic_NaturalGas_transforms,natgas_NE,NE_Synthetic_NaturalGas,NE_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,183602512.20942107,
NaturalGas,flow,SE_BECCS_NaturalGas_Herb_transforms,natgas_SE,SE_BECCS_NaturalGas_Herb,SE_BECCS_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,4.2163704300570505e-11,
NaturalGas,flow,SE_BECCS_NaturalGas_Wood_transforms,natgas_SE,SE_BECCS_NaturalGas_Wood,SE_BECCS_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,-1.417156031518491e-09,
NaturalGas,flow,SE_Bio_NaturalGas_Herb_transforms,natgas_SE,SE_Bio_NaturalGas_Herb,SE_Bio_NaturalGas_Herb_natgas_edge,BECCSNaturalGas,flow,504,4.593856972231411e-11,
NaturalGas,flow,SE_Bio_NaturalGas_Wood_transforms,natgas_SE,SE_Bio_NaturalGas_Wood,SE_Bio_NaturalGas_Wood_natgas_edge,BECCSNaturalGas,flow,504,-4.997508939941031e-10,
NaturalGas,flow,SE_NG_Fossil_Upstream_transforms,natgas_SE,SE_NG_Fossil_Upstream,SE_NG_Fossil_Upstream_fuel_edge,FossilFuelsUpstream{NaturalGas},flow,504,41632109.344767,
NaturalGas,flow,SE_Synthetic_NaturalGas_transforms,natgas_SE,SE_Synthetic_NaturalGas,SE_Synthetic_NaturalGas_natgas_edge,SyntheticNaturalGas,flow,504,2166706596.4231353,
NaturalGas,flow,natgas_MIDAT,MIDAT_ATR_wCCS_94pct_transforms,MIDAT_ATR_wCCS_94pct,MIDAT_ATR_wCCS_94pct_fuel_edge,ThermalHydrogenCCS{NaturalGas},flow,504,241370911.02699998,
