Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_Tonne,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9,,,,,Load_H2_tonne_per_hr_z1,Load_H2_tonne_per_hr_z2,Load_H2_tonne_per_hr_z3,Load_H2_tonne_per_hr_z4,Load_H2_tonne_per_hr_z5,Load_H2_tonne_per_hr_z6,Load_H2_tonne_per_hr_z7,Load_H2_tonne_per_hr_z8,Load_H2_tonne_per_hr_z9
1666500,1,1,0,11,168,1010.769231,1,105,100,82,275,362,594,375,187,46,,39.39,MWh-H2/t-H2,,4135.95,3939,3229.98,10832.25,14259.18,23397.66,14771.25,7365.93,1811.94
,,,,,,1010.769231,2,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,336.9230769,3,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,842.3076923,4,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,1010.769231,5,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,168.4615385,6,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,168.4615385,7,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,1853.076923,8,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,673.8461538,9,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,1516.153846,10,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,168.4615385,11,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,12,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,13,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,14,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,15,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,16,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,17,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,18,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,19,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,20,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,21,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,22,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,23,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,24,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,25,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,26,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,27,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,28,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,29,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,30,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,31,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,32,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,33,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,34,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,35,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,36,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,37,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,38,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,39,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,40,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,41,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,42,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,43,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,44,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,45,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,46,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,47,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,48,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,49,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,50,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,51,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,52,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,53,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,54,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,55,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,56,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,57,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,58,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,59,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,60,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,61,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,62,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,63,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,64,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,65,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,66,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,67,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,68,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,69,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,70,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,71,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,72,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,73,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,74,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
,,,,,,,75,105,100,82,275,362,594,375,187,46,,,,,,,,,,,,,
